"response_id","mobility_difficulty","rating"
"GEN24_1000498","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000502","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000502","Remembering or concentrating","4 - No difficulty"
"GEN24_1000502","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000502","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000508","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000508","Remembering or concentrating","4 - No difficulty"
"GEN24_1000508","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000508","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000510","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000510","Remembering or concentrating","4 - No difficulty"
"GEN24_1000510","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000510","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000511","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000511","Remembering or concentrating","4 - No difficulty"
"GEN24_1000511","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000511","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000512","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000512","Remembering or concentrating","4 - No difficulty"
"GEN24_1000512","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000512","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000518","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000518","Remembering or concentrating","4 - No difficulty"
"GEN24_1000518","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000518","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000521","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000521","Remembering or concentrating","4 - No difficulty"
"GEN24_1000521","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000521","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000522","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000522","Remembering or concentrating","4 - No difficulty"
"GEN24_1000522","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000522","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000523","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000523","Remembering or concentrating","4 - No difficulty"
"GEN24_1000523","Seeing, even when wearing glasses","2 - A lot of difficulty"
"GEN24_1000523","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000524","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000524","Remembering or concentrating","4 - No difficulty"
"GEN24_1000524","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000524","Walking or climbing stairs","2 - A lot of difficulty"
"GEN24_1000528","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000528","Remembering or concentrating","4 - No difficulty"
"GEN24_1000528","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000528","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000530","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000530","Remembering or concentrating","4 - No difficulty"
"GEN24_1000530","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000530","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000534","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000534","Remembering or concentrating","4 - No difficulty"
"GEN24_1000534","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000534","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000535","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000535","Remembering or concentrating","4 - No difficulty"
"GEN24_1000535","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000535","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000536","Hearing, even if using a hearing device","3 - Some difficulty"
"GEN24_1000536","Remembering or concentrating","4 - No difficulty"
"GEN24_1000536","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000536","Walking or climbing stairs","2 - A lot of difficulty"
"GEN24_1000538","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000538","Remembering or concentrating","4 - No difficulty"
"GEN24_1000538","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000538","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000539","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000539","Remembering or concentrating","4 - No difficulty"
"GEN24_1000539","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000539","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000540","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000540","Remembering or concentrating","3 - Some difficulty"
"GEN24_1000540","Seeing, even when wearing glasses","2 - A lot of difficulty"
"GEN24_1000540","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000542","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000542","Remembering or concentrating","4 - No difficulty"
"GEN24_1000542","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000542","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000543","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000543","Remembering or concentrating","3 - Some difficulty"
"GEN24_1000543","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000543","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000549","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000549","Remembering or concentrating","4 - No difficulty"
"GEN24_1000549","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000549","Walking or climbing stairs","3 - Some difficulty"
"GEN24_1000558","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000558","Remembering or concentrating","4 - No difficulty"
"GEN24_1000558","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000558","Walking or climbing stairs","1 - Cannot do at all"
"GEN24_1000566","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000566","Remembering or concentrating","4 - No difficulty"
"GEN24_1000566","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000566","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000571","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000571","Remembering or concentrating","4 - No difficulty"
"GEN24_1000571","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000571","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000574","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000574","Remembering or concentrating","Prefer not to say"
"GEN24_1000574","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000574","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000576","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000576","Remembering or concentrating","4 - No difficulty"
"GEN24_1000576","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000576","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000581","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000581","Remembering or concentrating","4 - No difficulty"
"GEN24_1000581","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000581","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000582","Hearing, even if using a hearing device","1 - Cannot do at all"
"GEN24_1000582","Remembering or concentrating","3 - Some difficulty"
"GEN24_1000582","Seeing, even when wearing glasses","2 - A lot of difficulty"
"GEN24_1000582","Walking or climbing stairs","3 - Some difficulty"
"GEN24_1000589","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000589","Remembering or concentrating","4 - No difficulty"
"GEN24_1000589","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000589","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000590","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000590","Remembering or concentrating","4 - No difficulty"
"GEN24_1000590","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000590","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000609","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000609","Remembering or concentrating","4 - No difficulty"
"GEN24_1000609","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000609","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000611","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000611","Remembering or concentrating","Prefer not to say"
"GEN24_1000611","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000611","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000612","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000612","Remembering or concentrating","4 - No difficulty"
"GEN24_1000612","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000612","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000614","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000614","Remembering or concentrating","4 - No difficulty"
"GEN24_1000614","Seeing, even when wearing glasses","2 - A lot of difficulty"
"GEN24_1000614","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000615","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000615","Remembering or concentrating","4 - No difficulty"
"GEN24_1000615","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000615","Walking or climbing stairs","3 - Some difficulty"
"GEN24_1000616","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000616","Remembering or concentrating","4 - No difficulty"
"GEN24_1000616","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000616","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000621","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000621","Remembering or concentrating","4 - No difficulty"
"GEN24_1000621","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000621","Walking or climbing stairs","3 - Some difficulty"
"GEN24_1000622","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000622","Remembering or concentrating","4 - No difficulty"
"GEN24_1000622","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000622","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000624","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000624","Remembering or concentrating","4 - No difficulty"
"GEN24_1000624","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000624","Walking or climbing stairs","3 - Some difficulty"
"GEN24_1000625","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000625","Remembering or concentrating","4 - No difficulty"
"GEN24_1000625","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000625","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000626","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000626","Remembering or concentrating","4 - No difficulty"
"GEN24_1000626","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000626","Walking or climbing stairs","3 - Some difficulty"
"GEN24_1000632","Hearing, even if using a hearing device","Prefer not to say"
"GEN24_1000632","Remembering or concentrating","Prefer not to say"
"GEN24_1000632","Seeing, even when wearing glasses","Prefer not to say"
"GEN24_1000632","Walking or climbing stairs","Prefer not to say"
"GEN24_1000633","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000633","Remembering or concentrating","4 - No difficulty"
"GEN24_1000633","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000633","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000637","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000637","Remembering or concentrating","4 - No difficulty"
"GEN24_1000637","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000637","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000643","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000643","Remembering or concentrating","4 - No difficulty"
"GEN24_1000643","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000643","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000649","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000649","Remembering or concentrating","3 - Some difficulty"
"GEN24_1000649","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000649","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000650","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000650","Remembering or concentrating","4 - No difficulty"
"GEN24_1000650","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000650","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000653","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000653","Remembering or concentrating","4 - No difficulty"
"GEN24_1000653","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000653","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000655","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000655","Remembering or concentrating","4 - No difficulty"
"GEN24_1000655","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000655","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000660","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000660","Remembering or concentrating","4 - No difficulty"
"GEN24_1000660","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000660","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000662","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000662","Remembering or concentrating","4 - No difficulty"
"GEN24_1000662","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000662","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000663","Hearing, even if using a hearing device","3 - Some difficulty"
"GEN24_1000663","Remembering or concentrating","3 - Some difficulty"
"GEN24_1000663","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000663","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000664","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000664","Remembering or concentrating","4 - No difficulty"
"GEN24_1000664","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000664","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000669","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000669","Remembering or concentrating","4 - No difficulty"
"GEN24_1000669","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000669","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000671","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000671","Remembering or concentrating","4 - No difficulty"
"GEN24_1000671","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000671","Walking or climbing stairs","3 - Some difficulty"
"GEN24_1000674","Hearing, even if using a hearing device","3 - Some difficulty"
"GEN24_1000674","Remembering or concentrating","4 - No difficulty"
"GEN24_1000674","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000674","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000676","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000676","Remembering or concentrating","3 - Some difficulty"
"GEN24_1000676","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000676","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000677","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000677","Remembering or concentrating","4 - No difficulty"
"GEN24_1000677","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000677","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000691","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000691","Remembering or concentrating","4 - No difficulty"
"GEN24_1000691","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000691","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000693","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000693","Remembering or concentrating","4 - No difficulty"
"GEN24_1000693","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000693","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000697","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000697","Remembering or concentrating","4 - No difficulty"
"GEN24_1000697","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000697","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000700","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000700","Remembering or concentrating","4 - No difficulty"
"GEN24_1000700","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000700","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000706","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000706","Remembering or concentrating","4 - No difficulty"
"GEN24_1000706","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000706","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000708","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000708","Remembering or concentrating","4 - No difficulty"
"GEN24_1000708","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000708","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000711","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000711","Remembering or concentrating","4 - No difficulty"
"GEN24_1000711","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000711","Walking or climbing stairs","3 - Some difficulty"
"GEN24_1000713","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000713","Remembering or concentrating","4 - No difficulty"
"GEN24_1000713","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000713","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000718","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000718","Remembering or concentrating","3 - Some difficulty"
"GEN24_1000718","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000718","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000719","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000719","Remembering or concentrating","4 - No difficulty"
"GEN24_1000719","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000719","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000720","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000720","Remembering or concentrating","4 - No difficulty"
"GEN24_1000720","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000720","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000729","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000729","Remembering or concentrating","4 - No difficulty"
"GEN24_1000729","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000729","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000731","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000731","Remembering or concentrating","4 - No difficulty"
"GEN24_1000731","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000731","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000736","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000736","Remembering or concentrating","4 - No difficulty"
"GEN24_1000736","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000736","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000739","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000739","Remembering or concentrating","4 - No difficulty"
"GEN24_1000739","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000739","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000746","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000746","Remembering or concentrating","4 - No difficulty"
"GEN24_1000746","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000746","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000748","Hearing, even if using a hearing device","3 - Some difficulty"
"GEN24_1000748","Remembering or concentrating","4 - No difficulty"
"GEN24_1000748","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000748","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000760","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000760","Remembering or concentrating","4 - No difficulty"
"GEN24_1000760","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000760","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000766","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000766","Remembering or concentrating","4 - No difficulty"
"GEN24_1000766","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000766","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000778","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000778","Remembering or concentrating","4 - No difficulty"
"GEN24_1000778","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000778","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000781","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000781","Remembering or concentrating","4 - No difficulty"
"GEN24_1000781","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000781","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000783","Hearing, even if using a hearing device","3 - Some difficulty"
"GEN24_1000783","Remembering or concentrating","3 - Some difficulty"
"GEN24_1000783","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000783","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000788","Hearing, even if using a hearing device","3 - Some difficulty"
"GEN24_1000788","Remembering or concentrating","2 - A lot of difficulty"
"GEN24_1000788","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000788","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000789","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000789","Remembering or concentrating","4 - No difficulty"
"GEN24_1000789","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000789","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000790","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000790","Remembering or concentrating","4 - No difficulty"
"GEN24_1000790","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000790","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000791","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000791","Remembering or concentrating","3 - Some difficulty"
"GEN24_1000791","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000791","Walking or climbing stairs","3 - Some difficulty"
"GEN24_1000792","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000792","Remembering or concentrating","4 - No difficulty"
"GEN24_1000792","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000792","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000793","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000793","Remembering or concentrating","4 - No difficulty"
"GEN24_1000793","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000793","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000797","Hearing, even if using a hearing device","3 - Some difficulty"
"GEN24_1000797","Remembering or concentrating","4 - No difficulty"
"GEN24_1000797","Seeing, even when wearing glasses","2 - A lot of difficulty"
"GEN24_1000797","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000804","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000804","Remembering or concentrating","4 - No difficulty"
"GEN24_1000804","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000804","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000807","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000807","Remembering or concentrating","4 - No difficulty"
"GEN24_1000807","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000807","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000821","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000821","Remembering or concentrating","4 - No difficulty"
"GEN24_1000821","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000821","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000823","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000823","Remembering or concentrating","4 - No difficulty"
