"response_id","covid_restrictions_rating","covidclean_consideration"
"GEN24_1001192","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001201","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001209","2 - Not very","1 - Never"
"GEN24_1001221","2 - Not very","1 - Never"
"GEN24_1001223","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001226","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001230","2 - Not very","1 - Never"
"GEN24_1001234","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001235","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001237","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001248","1 - Not at all","1 - Never"
"GEN24_1001253","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001256","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001257","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001258","2 - Not very","1 - Never"
"GEN24_1001262","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001263","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001267","1 - Not at all","1 - Never"
"GEN24_1001272","2 - Not very","2 - Sometimes"
"GEN24_1001277","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001281","2 - Not very","Not sure"
"GEN24_1001282","3 - Fairly","1 - Never"
"GEN24_1001297","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001313","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001315","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001316","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001317","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001325","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001332","Don't know","Not sure"
"GEN24_1001336","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001338","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001350","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001355","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001362","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001367","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001370","3 - Fairly","2 - Sometimes"
"GEN24_1001385","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001386","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001388","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001403","2 - Not very","3 - Most of the time"
"GEN24_1001406","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001407","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001411","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001412","1 - Not at all","1 - Never"
"GEN24_1001417","3 - Fairly","1 - Never"
"GEN24_1001423","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001428","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001429","2 - Not very","2 - Sometimes"
"GEN24_1001431","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001434","1 - Not at all","1 - Never"
"GEN24_1001440","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001446","2 - Not very","Not sure"
"GEN24_1001447","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001450","2 - Not very","1 - Never"
"GEN24_1001458","2 - Not very","1 - Never"
"GEN24_1001465","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001478","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001481","2 - Not very","Not sure"
"GEN24_1001485","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001488","2 - Not very","Not sure"
"GEN24_1001493","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001507","4 - Very","1 - Never"
"GEN24_1001511","2 - Not very","4 - Always"
"GEN24_1001514","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001515","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001519","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001520","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001524","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001526","2 - Not very","4 - Always"
"GEN24_1001527","2 - Not very","2 - Sometimes"
"GEN24_1001534","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001540","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001542","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001543","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001547","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001548","3 - Fairly","1 - Never"
"GEN24_1001552","2 - Not very","2 - Sometimes"
"GEN24_1001557","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001558","1 - Not at all","1 - Never"
"GEN24_1001560","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001562","2 - Not very","3 - Most of the time"
"GEN24_1001566","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001569","3 - Fairly","4 - Always"
"GEN24_1001571","3 - Fairly","1 - Never"
"GEN24_1001572","1 - Not at all","Not sure"
"GEN24_1001579","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001587","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001592","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001595","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001600","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001610","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001613","2 - Not very","2 - Sometimes"
"GEN24_1001615","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001622","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001624","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001637","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001641","1 - Not at all","2 - Sometimes"
"GEN24_1001646","3 - Fairly","Not sure"
"GEN24_1001651","3 - Fairly","2 - Sometimes"
"GEN24_1001659","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001666","2 - Not very","1 - Never"
"GEN24_1001669","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001670","1 - Not at all","3 - Most of the time"
"GEN24_1001671","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001675","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001681","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001683","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001688","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001693","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001696","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001697","3 - Fairly","3 - Most of the time"
"GEN24_1001700","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001701","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001702","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001705","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001711","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001717","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001718","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001727","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001728","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001733","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001738","2 - Not very","1 - Never"
"GEN24_1001740","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001742","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001746","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001747","1 - Not at all","1 - Never"
"GEN24_1001749","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001755","Don't know","Haven't heard of COVIDCLEAN"
"GEN24_1001757","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001762","2 - Not very","1 - Never"
"GEN24_1001763","1 - Not at all","1 - Never"
"GEN24_1001764","3 - Fairly","3 - Most of the time"
"GEN24_1001766","1 - Not at all","1 - Never"
"GEN24_1001771","1 - Not at all","1 - Never"
"GEN24_1001773","2 - Not very","1 - Never"
"GEN24_1001775","4 - Very","1 - Never"
"GEN24_1001779","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001785","2 - Not very","1 - Never"
"GEN24_1001790","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001791","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001793","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001794","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001796","3 - Fairly","1 - Never"
"GEN24_1001797","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001798","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001803","1 - Not at all","1 - Never"
"GEN24_1001809","2 - Not very","1 - Never"
"GEN24_1001810","2 - Not very","3 - Most of the time"
"GEN24_1001811","2 - Not very","Not sure"
"GEN24_1001813","1 - Not at all","1 - Never"
"GEN24_1001818","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001819","1 - Not at all","1 - Never"
"GEN24_1001822","1 - Not at all","1 - Never"
"GEN24_1001826","Don't know","1 - Never"
"GEN24_1001841","2 - Not very","2 - Sometimes"
"GEN24_1001843","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001844","2 - Not very","3 - Most of the time"
"GEN24_1001848","2 - Not very","1 - Never"
"GEN24_1001851","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001852","1 - Not at all","3 - Most of the time"
"GEN24_1001853","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001854","1 - Not at all","4 - Always"
"GEN24_1001855","4 - Very","1 - Never"
"GEN24_1001856","3 - Fairly","1 - Never"
"GEN24_1001857","3 - Fairly","4 - Always"
"GEN24_1001862","1 - Not at all","1 - Never"
"GEN24_1001865","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001866","1 - Not at all","3 - Most of the time"
"GEN24_1001872","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001881","4 - Very","1 - Never"
"GEN24_1001884","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001885","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001887","3 - Fairly","3 - Most of the time"
"GEN24_1001889","1 - Not at all","1 - Never"
"GEN24_1001893","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001901","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001904","2 - Not very","2 - Sometimes"
"GEN24_1001906","1 - Not at all","4 - Always"
"GEN24_1001908","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001917","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001918","2 - Not very","1 - Never"
"GEN24_1001921","3 - Fairly","2 - Sometimes"
"GEN24_1001924","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001930","3 - Fairly","4 - Always"
"GEN24_1001932","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001933","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001934","2 - Not very","1 - Never"
"GEN24_1001935","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001936","1 - Not at all","1 - Never"
"GEN24_1001940","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001943","1 - Not at all","Not sure"
"GEN24_1001944","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001945","1 - Not at all","1 - Never"
"GEN24_1001948","2 - Not very","2 - Sometimes"
"GEN24_1001951","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001955","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001961","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001963","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001971","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001972","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001975","4 - Very","Not sure"
"GEN24_1001976","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001985","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001986","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001987","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001988","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001992","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001993","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001998","2 - Not very","Not sure"
"GEN24_1002000","3 - Fairly","1 - Never"
"GEN24_1002003","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1002005","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002007","2 - Not very","1 - Never"
"GEN24_1002009","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1002010","1 - Not at all","2 - Sometimes"
"GEN24_1002011","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002013","3 - Fairly","1 - Never"
"GEN24_1002016","2 - Not very","2 - Sometimes"
"GEN24_1002017","2 - Not very","1 - Never"
"GEN24_1002018","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002020","2 - Not very","4 - Always"
"GEN24_1002021","4 - Very","1 - Never"
"GEN24_1002022","1 - Not at all","2 - Sometimes"
"GEN24_1002025","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1002026","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002027","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002030","3 - Fairly","1 - Never"
"GEN24_1002031","2 - Not very","1 - Never"
"GEN24_1002032","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1002035","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002037","3 - Fairly","4 - Always"
"GEN24_1002039","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1002042","2 - Not very","Not sure"
"GEN24_1002043","3 - Fairly","4 - Always"
"GEN24_1002046","3 - Fairly","4 - Always"
"GEN24_1002050","1 - Not at all","1 - Never"
"GEN24_1002052","1 - Not at all","1 - Never"
"GEN24_1002065","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1002072","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1002077","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002078","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1002079","1 - Not at all","1 - Never"
"GEN24_1002088","1 - Not at all","1 - Never"
"GEN24_1002089","2 - Not very","1 - Never"
"GEN24_1002093","2 - Not very","3 - Most of the time"
"GEN24_1002094","2 - Not very","1 - Never"
"GEN24_1002095","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002096","Don't know","Haven't heard of COVIDCLEAN"
"GEN24_1002110","1 - Not at all","3 - Most of the time"
"GEN24_1002111","1 - Not at all","4 - Always"
"GEN24_1002114","3 - Fairly","1 - Never"
"GEN24_1002121","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1002122","4 - Very","1 - Never"
"GEN24_1002128","2 - Not very","1 - Never"
"GEN24_1002130","2 - Not very","1 - Never"
"GEN24_1002138","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002147","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002149","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1002158","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1002160","1 - Not at all","1 - Never"
