"response_id","drive_yourself","driving_information"
"GEN24_1000760","No",NA
"GEN24_1000778","No",NA
"GEN24_1000781","Yes","I did not receive any information"
"GEN24_1000783","Yes","I did not receive any information"
"GEN24_1000788","No",NA
"GEN24_1000789","No",NA
"GEN24_1000790","Yes","I did not receive any information"
"GEN24_1000791","Yes","Before arriving in New Zealand"
"GEN24_1000793","No",NA
"GEN24_1000797","Yes","I did not receive any information"
"GEN24_1000804","No",NA
"GEN24_1000823","No",NA
"GEN24_1000824","No",NA
"GEN24_1000826","Yes","I did not receive any information"
"GEN24_1000829","Yes","I did not receive any information"
"GEN24_1000852","Yes","I did not receive any information"
"GEN24_1000853","No",NA
"GEN24_1000868","Yes","I did not receive any information"
"GEN24_1000869","Yes","I did not receive any information"
"GEN24_1000871","Yes","While in New Zealand"
"GEN24_1000877","No",NA
"GEN24_1000879","No",NA
"GEN24_1000884","Yes","I did not receive any information"
"GEN24_1000890","No",NA
"GEN24_1000900","Yes","I did not receive any information"
"GEN24_1000902","No",NA
"GEN24_1000904","Yes","While in New Zealand"
"GEN24_1000907","Yes","While in New Zealand"
"GEN24_1000927","Yes","Before arriving in New Zealand"
"GEN24_1000928","No",NA
"GEN24_1000945","Yes","I did not receive any information"
"GEN24_1000948","Yes","I did not receive any information"
"GEN24_1000963","Yes","I did not receive any information"
"GEN24_1000964","Yes","I did not receive any information"
"GEN24_1000969","Yes","Before arriving in New Zealand"
"GEN24_1000969","Yes","While in New Zealand"
"GEN24_1000970","Yes","Before arriving in New Zealand"
"GEN24_1000977","No",NA
"GEN24_1000982","Yes","I did not receive any information"
"GEN24_1000984","Yes","I did not receive any information"
"GEN24_1000989","No",NA
"GEN24_1000991","Yes","I did not receive any information"
"GEN24_1000998","Yes","I did not receive any information"
"GEN24_1001003","Yes","I did not receive any information"
"GEN24_1001004","No",NA
"GEN24_1001018","Yes","I did not receive any information"
"GEN24_1001020","Yes","I did not receive any information"
"GEN24_1001021","Yes","I did not receive any information"
"GEN24_1001023","Yes","Before arriving in New Zealand"
"GEN24_1001023","Yes","While in New Zealand"
"GEN24_1001027","Yes","I did not receive any information"
"GEN24_1001038","Yes","I did not receive any information"
"GEN24_1001043","No",NA
"GEN24_1001047","Yes","I did not receive any information"
"GEN24_1001060","Yes","I did not receive any information"
"GEN24_1001061","Yes","I did not receive any information"
"GEN24_1001065","No",NA
"GEN24_1001068","Yes","While in New Zealand"
"GEN24_1001077","Yes","I did not receive any information"
"GEN24_1001083","Yes","Before arriving in New Zealand"
"GEN24_1001088","Yes","I did not receive any information"
"GEN24_1001089","No",NA
"GEN24_1001090","Yes","I did not receive any information"
"GEN24_1001094","No",NA
"GEN24_1001100","No",NA
"GEN24_1001106","Yes","While in New Zealand"
"GEN24_1001111","Yes","I did not receive any information"
"GEN24_1001112","Yes","I did not receive any information"
"GEN24_1001113","Yes","I did not receive any information"
"GEN24_1001116","Yes","I did not receive any information"
"GEN24_1001125","No",NA
"GEN24_1001130","Yes","I did not receive any information"
"GEN24_1001135","No",NA
"GEN24_1001139","Yes","I did not receive any information"
"GEN24_1001148","Yes","I did not receive any information"
"GEN24_1001151","Yes","I did not receive any information"
"GEN24_1001158","Yes","I did not receive any information"
"GEN24_1001160","Yes","I did not receive any information"
"GEN24_1001161","Yes","Before arriving in New Zealand"
"GEN24_1001168","Yes","While in New Zealand"
"GEN24_1001169","Yes","While in New Zealand"
"GEN24_1001170","Yes","I did not receive any information"
"GEN24_1001176","Yes","Before arriving in New Zealand"
"GEN24_1001178","No",NA
"GEN24_1001182","No",NA
"GEN24_1001187","Yes","I did not receive any information"
"GEN24_1001188","No",NA
"GEN24_1001191","Yes","I did not receive any information"
"GEN24_1001192","No",NA
"GEN24_1001201","Yes","While in New Zealand"
"GEN24_1001209","Yes","I did not receive any information"
"GEN24_1001221","Yes","I did not receive any information"
"GEN24_1001226","Yes","While in New Zealand"
"GEN24_1001228","No",NA
"GEN24_1001234","Yes","I did not receive any information"
"GEN24_1001245","Yes","Before arriving in New Zealand"
"GEN24_1001248","Yes","I did not receive any information"
"GEN24_1001253","No",NA
"GEN24_1001256","No",NA
"GEN24_1001257","Yes","I did not receive any information"
"GEN24_1001258","No",NA
"GEN24_1001262","Yes","While in New Zealand"
"GEN24_1001277","Yes","While in New Zealand"
"GEN24_1001281","No",NA
"GEN24_1001282","Yes","While in New Zealand"
"GEN24_1001313","Yes","While in New Zealand"
"GEN24_1001315","Yes","I did not receive any information"
"GEN24_1001316","Yes","While in New Zealand"
"GEN24_1001325","Yes","I did not receive any information"
"GEN24_1001332","Yes","While in New Zealand"
"GEN24_1001336","Yes","I did not receive any information"
"GEN24_1001338","Yes","I did not receive any information"
"GEN24_1001350","Yes","I did not receive any information"
"GEN24_1001362","Yes","I did not receive any information"
"GEN24_1001367","Yes","I did not receive any information"
"GEN24_1001370","No",NA
"GEN24_1001385","Yes","I did not receive any information"
"GEN24_1001386","Yes","I did not receive any information"
"GEN24_1001406","No",NA
"GEN24_1001407","No",NA
"GEN24_1001411","Yes","I did not receive any information"
"GEN24_1001412","Yes","I did not receive any information"
"GEN24_1001423","Yes","Before arriving in New Zealand"
"GEN24_1001431","No",NA
"GEN24_1001434","Yes","I did not receive any information"
"GEN24_1001440","No",NA
"GEN24_1001447","No",NA
"GEN24_1001450","No",NA
"GEN24_1001465","No",NA
"GEN24_1001478","Yes","I did not receive any information"
"GEN24_1001481","Yes","Before arriving in New Zealand"
"GEN24_1001485","Yes","I did not receive any information"
"GEN24_1001488","Yes","Before arriving in New Zealand"
"GEN24_1001493","Yes","I did not receive any information"
"GEN24_1001507","Yes","I did not receive any information"
"GEN24_1001511","Yes","Before arriving in New Zealand"
"GEN24_1001514","Yes","Before arriving in New Zealand"
"GEN24_1001515","Yes","I did not receive any information"
"GEN24_1001519","Yes","I did not receive any information"
"GEN24_1001520","Yes","I did not receive any information"
"GEN24_1001524","Yes","I did not receive any information"
"GEN24_1001526","No",NA
"GEN24_1001527","Yes","Before arriving in New Zealand"
"GEN24_1001527","Yes","While in New Zealand"
"GEN24_1001534","Yes","I did not receive any information"
"GEN24_1001540","Yes","Before arriving in New Zealand"
"GEN24_1001542","Yes","I did not receive any information"
"GEN24_1001543","No",NA
"GEN24_1001547","Yes","Before arriving in New Zealand"
"GEN24_1001548","Yes","I did not receive any information"
"GEN24_1001557","Yes","I did not receive any information"
"GEN24_1001558","Yes","I did not receive any information"
"GEN24_1001560","Yes","I did not receive any information"
"GEN24_1001562","Yes","Before arriving in New Zealand"
"GEN24_1001566","Yes","Before arriving in New Zealand"
"GEN24_1001569","Yes","Before arriving in New Zealand"
"GEN24_1001571","No",NA
"GEN24_1001572","Yes","I did not receive any information"
"GEN24_1001579","Yes","While in New Zealand"
"GEN24_1001587","No",NA
"GEN24_1001600","Yes","I did not receive any information"
"GEN24_1001610","Yes","I did not receive any information"
"GEN24_1001613","No",NA
"GEN24_1001615","Yes","I did not receive any information"
"GEN24_1001622","Yes","I did not receive any information"
"GEN24_1001623","Yes","I did not receive any information"
"GEN24_1001624","Yes","Before arriving in New Zealand"
"GEN24_1001624","Yes","While in New Zealand"
"GEN24_1001637","Yes","While in New Zealand"
"GEN24_1001641","Yes","Before arriving in New Zealand"
"GEN24_1001651","Yes","Before arriving in New Zealand"
"GEN24_1001666","No",NA
"GEN24_1001667","Yes","Before arriving in New Zealand"
"GEN24_1001669","No",NA
"GEN24_1001670","Yes","I did not receive any information"
"GEN24_1001671","Yes","I did not receive any information"
"GEN24_1001675","Yes","I did not receive any information"
"GEN24_1001683","Yes","Before arriving in New Zealand"
"GEN24_1001683","Yes","While in New Zealand"
"GEN24_1001688","Yes","Before arriving in New Zealand"
"GEN24_1001693","No",NA
"GEN24_1001696","Yes","Before arriving in New Zealand"
"GEN24_1001697","No",NA
"GEN24_1001700","Yes","I did not receive any information"
"GEN24_1001701","Yes","Before arriving in New Zealand"
"GEN24_1001702","No",NA
"GEN24_1001705","Yes","I did not receive any information"
"GEN24_1001711","Yes","Before arriving in New Zealand"
"GEN24_1001711","Yes","While in New Zealand"
"GEN24_1001717","Yes","While in New Zealand"
"GEN24_1001718","Yes","While in New Zealand"
"GEN24_1001727","Yes","While in New Zealand"
"GEN24_1001728","Yes","Before arriving in New Zealand"
"GEN24_1001738","Yes","I did not receive any information"
"GEN24_1001740","Yes","I did not receive any information"
"GEN24_1001742","Yes","While in New Zealand"
"GEN24_1001746","No",NA
"GEN24_1001747","No",NA
"GEN24_1001749","Yes","I did not receive any information"
"GEN24_1001757","Yes","While in New Zealand"
"GEN24_1001758","No",NA
"GEN24_1001763","Yes","Before arriving in New Zealand"
"GEN24_1001765","Yes","Before arriving in New Zealand"
"GEN24_1001766","Yes","I did not receive any information"
"GEN24_1001771","Yes","I did not receive any information"
"GEN24_1001773","Yes","Before arriving in New Zealand"
"GEN24_1001775","Yes","Before arriving in New Zealand"
"GEN24_1001779","No",NA
"GEN24_1001782","No",NA
"GEN24_1001785","Yes","I did not receive any information"
"GEN24_1001790","Yes","Before arriving in New Zealand"
"GEN24_1001791","Yes","Before arriving in New Zealand"
"GEN24_1001791","Yes","While in New Zealand"
"GEN24_1001793","Yes","I did not receive any information"
"GEN24_1001794","Yes","I did not receive any information"
"GEN24_1001796","Yes","I did not receive any information"
"GEN24_1001797","Yes","I did not receive any information"
"GEN24_1001798","No",NA
"GEN24_1001803","No",NA
"GEN24_1001805","Yes","I did not receive any information"
"GEN24_1001806","Yes","I did not receive any information"
"GEN24_1001809","Yes","I did not receive any information"
"GEN24_1001810","Yes","Before arriving in New Zealand"
"GEN24_1001811","Yes","I did not receive any information"
"GEN24_1001813","Yes","Before arriving in New Zealand"
"GEN24_1001818","Yes","Before arriving in New Zealand"
"GEN24_1001819","Yes","I did not receive any information"
"GEN24_1001822","No",NA
"GEN24_1001826","No",NA
"GEN24_1001841","Yes","I did not receive any information"
"GEN24_1001843","Yes","I did not receive any information"
"GEN24_1001844","No",NA
"GEN24_1001852","No",NA
"GEN24_1001853","Yes","I did not receive any information"
"GEN24_1001854","Yes","I did not receive any information"
"GEN24_1001855","Yes","Before arriving in New Zealand"
"GEN24_1001856","Yes","While in New Zealand"
"GEN24_1001857","Yes","While in New Zealand"
"GEN24_1001862","Yes","While in New Zealand"
"GEN24_1001865","Yes","I did not receive any information"
"GEN24_1001866","Yes","I did not receive any information"
"GEN24_1001872","Yes","I did not receive any information"
"GEN24_1001884","No",NA
"GEN24_1001885","Yes","Before arriving in New Zealand"
"GEN24_1001887","No",NA
"GEN24_1001893","Yes","I did not receive any information"
"GEN24_1001901","Yes","Before arriving in New Zealand"
"GEN24_1001904","Yes","Before arriving in New Zealand"
"GEN24_1001908","No",NA
"GEN24_1001915","No",NA
"GEN24_1001917","Yes","While in New Zealand"
"GEN24_1001918","Yes","Before arriving in New Zealand"
"GEN24_1001924","No",NA
"GEN24_1001930","Yes","While in New Zealand"
"GEN24_1001932","Yes","While in New Zealand"
"GEN24_1001933","Yes","I did not receive any information"
"GEN24_1001934","Yes","I did not receive any information"
"GEN24_1001935","Yes","I did not receive any information"
"GEN24_1001940","Yes","I did not receive any information"
"GEN24_1001943","Yes","I did not receive any information"
"GEN24_1001944","Yes","I did not receive any information"
"GEN24_1001948","Yes","I did not receive any information"
"GEN24_1001951","No",NA
"GEN24_1001955","Yes","I did not receive any information"
"GEN24_1001961","No",NA
"GEN24_1001971","Yes","I did not receive any information"
"GEN24_1001972","Yes","Before arriving in New Zealand"
"GEN24_1001972","Yes","While in New Zealand"
"GEN24_1001975","No",NA
"GEN24_1001976","Yes","While in New Zealand"
"GEN24_1001984","Yes","I did not receive any information"
"GEN24_1001985","No",NA
"GEN24_1001987","Yes","I did not receive any information"
"GEN24_1001988","Yes","I did not receive any information"
"GEN24_1001992","Yes","I did not receive any information"
"GEN24_1001993","No",NA
"GEN24_1002000","Yes","I did not receive any information"
"GEN24_1002003","Yes","I did not receive any information"
"GEN24_1002005","Yes","Before arriving in New Zealand"
"GEN24_1002007","Yes","I did not receive any information"
"GEN24_1002009","Yes","I did not receive any information"
"GEN24_1002010","Yes","While in New Zealand"
"GEN24_1002011","No",NA
"GEN24_1002013","Yes","Before arriving in New Zealand"
"GEN24_1002016","No",NA
"GEN24_1002017","No",NA
"GEN24_1002018","Yes","I did not receive any information"
"GEN24_1002020","Yes","Before arriving in New Zealand"
"GEN24_1002021","Yes","I did not receive any information"
"GEN24_1002022","Yes","While in New Zealand"
"GEN24_1002025","No",NA
"GEN24_1002026","Yes","I did not receive any information"
"GEN24_1002027","Yes","I did not receive any information"
"GEN24_1002031","Yes","I did not receive any information"
"GEN24_1002032","Yes","I did not receive any information"
"GEN24_1002035","Yes","I did not receive any information"
"GEN24_1002039","Yes","While in New Zealand"
"GEN24_1002042","Yes","Before arriving in New Zealand"
"GEN24_1002043","Yes","While in New Zealand"
"GEN24_1002050","No",NA
"GEN24_1002052","Yes","I did not receive any information"
"GEN24_1002065","Yes","I did not receive any information"
"GEN24_1002077","Yes","I did not receive any information"
"GEN24_1002078","Yes","I did not receive any information"
"GEN24_1002079","Yes","I did not receive any information"
"GEN24_1002088","Yes","I did not receive any information"
"GEN24_1002089","No",NA
"GEN24_1002092","Yes","I did not receive any information"
"GEN24_1002093","No",NA
"GEN24_1002094","No",NA
"GEN24_1002095","Yes","I did not receive any information"
"GEN24_1002096","Yes","While in New Zealand"
"GEN24_1002110","No",NA
"GEN24_1002111","Yes","I did not receive any information"
"GEN24_1002114","Yes","I did not receive any information"
"GEN24_1002119","Yes","I did not receive any information"
"GEN24_1002121","Yes","I did not receive any information"
"GEN24_1002122","Yes","I did not receive any information"
"GEN24_1002128","Yes","While in New Zealand"
"GEN24_1002130","Yes","Before arriving in New Zealand"
"GEN24_1002138","Yes","I did not receive any information"
"GEN24_1002147","Yes","Before arriving in New Zealand"
"GEN24_1002149","Yes","I did not receive any information"
"GEN24_1002158","Yes","Before arriving in New Zealand"
"GEN24_1002171","Yes","While in New Zealand"
"GEN24_1002172","Yes","While in New Zealand"
"GEN24_1002200","No",NA
"GEN24_1002201","Yes","Before arriving in New Zealand"
"GEN24_1002211","Yes","I did not receive any information"
"GEN24_1002221","Yes","I did not receive any information"
"GEN24_1002229","Yes","I did not receive any information"
"GEN24_1002231","Yes","While in New Zealand"
"GEN24_1002242","No",NA
"GEN24_1002244","Yes","While in New Zealand"
"GEN24_1002250","Yes","I did not receive any information"
"GEN24_1002251","Yes","I did not receive any information"
"GEN24_1002256","Yes","I did not receive any information"
"GEN24_1002258","Yes","Before arriving in New Zealand"
"GEN24_1002259","Yes","I did not receive any information"
"GEN24_1002279","Yes","Before arriving in New Zealand"
"GEN24_1002284","No",NA
"GEN24_1002298","Yes","I did not receive any information"
"GEN24_1002304","No",NA
"GEN24_1002306","Yes","I did not receive any information"
"GEN24_1002307","No",NA
"GEN24_1002308","Yes","I did not receive any information"
"GEN24_1002312","Yes","I did not receive any information"
"GEN24_1002313","No",NA
"GEN24_1002331","No",NA
"GEN24_1002338","Yes","Before arriving in New Zealand"
"GEN24_1002344","Yes","I did not receive any information"
"GEN24_1002345","No",NA
"GEN24_1002346","Yes","I did not receive any information"
"GEN24_1002353","No",NA
"GEN24_1002354","Yes","I did not receive any information"
"GEN24_1002366","Yes","While in New Zealand"
"GEN24_1002367","Yes","Before arriving in New Zealand"
"GEN24_1002369","No",NA
"GEN24_1002370","Yes","I did not receive any information"
"GEN24_1002372","Yes","I did not receive any information"
"GEN24_1002374","No",NA
"GEN24_1002375","No",NA
"GEN24_1002381","Yes","I did not receive any information"
"GEN24_1002382","No",NA
"GEN24_1002383","No",NA
"GEN24_1002384","Yes","I did not receive any information"
"GEN24_1002396","Yes","While in New Zealand"
"GEN24_1002399","Yes","I did not receive any information"
"GEN24_1002400","Yes","I did not receive any information"
"GEN24_1002403","Yes","I did not receive any information"
"GEN24_1002414","Yes","I did not receive any information"
"GEN24_1002416","Yes","While in New Zealand"
"GEN24_1002426","Yes","While in New Zealand"
"GEN24_1002428","No",NA
"GEN24_1002430","Yes","I did not receive any information"
"GEN24_1002436","No",NA
"GEN24_1002437","Yes","I did not receive any information"
"GEN24_1002438","Yes","I did not receive any information"
"GEN24_1002442","No",NA
"GEN24_1002443","No",NA
"GEN24_1002445","No",NA
"GEN24_1002446","No",NA
"GEN24_1002450","No",NA
"GEN24_1002451","Yes","I did not receive any information"
"GEN24_1002452","No",NA
"GEN24_1002475","Yes","I did not receive any information"
"GEN24_1002478","No",NA
"GEN24_1002488","Yes","While in New Zealand"
"GEN24_1002491","Yes","I did not receive any information"
"GEN24_1002496","No",NA
"GEN24_1002498","Yes","Before arriving in New Zealand"
"GEN24_1002505","Yes","I did not receive any information"
"GEN24_1002507","No",NA
"GEN24_1002509","No",NA
"GEN24_1002510","No",NA
"GEN24_1002514","No",NA
"GEN24_1002519","Yes","While in New Zealand"
"GEN24_1002524","No",NA
"GEN24_1002530","Yes","I did not receive any information"
"GEN24_1002536","Yes","Before arriving in New Zealand"
"GEN24_1002544","Yes","I did not receive any information"
"GEN24_1002546","Yes","I did not receive any information"
"GEN24_1002549","Yes","I did not receive any information"
"GEN24_1002553","Yes","I did not receive any information"
"GEN24_1002554","Yes","I did not receive any information"
"GEN24_1002559","No",NA
"GEN24_1002561","Yes","I did not receive any information"
"GEN24_1002566","No",NA
"GEN24_1002580","Yes","I did not receive any information"
"GEN24_1002582","Yes","Before arriving in New Zealand"
"GEN24_1002583","Yes","I did not receive any information"
"GEN24_1002584","No",NA
"GEN24_1002585","No",NA
"GEN24_1002588","Yes","While in New Zealand"
"GEN24_1002592","Yes","I did not receive any information"
"GEN24_1002593","Yes","I did not receive any information"
"GEN24_1002594","Yes","Before arriving in New Zealand"
"GEN24_1002597","Yes","Before arriving in New Zealand"
"GEN24_1002607","Yes","I did not receive any information"
"GEN24_1002620","Yes","While in New Zealand"
"GEN24_1002627","Yes","I did not receive any information"
"GEN24_1002635","Yes","While in New Zealand"
"GEN24_1002640","No",NA
"GEN24_1002666","No",NA
"GEN24_1002670","Yes","I did not receive any information"
"GEN24_1002671","Yes","While in New Zealand"
"GEN24_1002674","No",NA
"GEN24_1002677","Yes","I did not receive any information"
"GEN24_1002687","No",NA
"GEN24_1002688","Yes","I did not receive any information"
"GEN24_1002694","No",NA
"GEN24_1002707","Yes","Before arriving in New Zealand"
"GEN24_1002717","No",NA
"GEN24_1002725","Yes","I did not receive any information"
"GEN24_1002741","Yes","Before arriving in New Zealand"
"GEN24_1002753","Yes","I did not receive any information"
"GEN24_1002758","Yes","I did not receive any information"
"GEN24_1002760","Yes","I did not receive any information"
"GEN24_1002762","No",NA
"GEN24_1002763","Yes","While in New Zealand"
"GEN24_1002770","Yes","I did not receive any information"
"GEN24_1002771","Yes","I did not receive any information"
"GEN24_1002774","Yes","I did not receive any information"
"GEN24_1002778","Yes","I did not receive any information"
"GEN24_1002786","No",NA
"GEN24_1002794","Yes","I did not receive any information"
"GEN24_1002797","Yes","I did not receive any information"
"GEN24_1002801","Yes",NA
"GEN24_1002803","Yes","I did not receive any information"
"GEN24_1002804","Yes","While in New Zealand"
"GEN24_1002808","Yes","I did not receive any information"
"GEN24_1002813","Yes","I did not receive any information"
"GEN24_1002816","No",NA
"GEN24_1002817","No",NA
"GEN24_1002819","No",NA
"GEN24_1002820","Yes","Before arriving in New Zealand"
"GEN24_1002824","No",NA
"GEN24_1002839","Yes","I did not receive any information"
"GEN24_1002840","Yes","I did not receive any information"
"GEN24_1002848","Yes","I did not receive any information"
"GEN24_1002853","Yes","Before arriving in New Zealand"
"GEN24_1002855","No",NA
"GEN24_1002856","Yes","I did not receive any information"
"GEN24_1002858","Yes","I did not receive any information"
"GEN24_1002860","Yes","I did not receive any information"
"GEN24_1002864","Yes","I did not receive any information"
"GEN24_1002865","No",NA
"GEN24_1002874","No",NA
"GEN24_1002881","Yes","I did not receive any information"
"GEN24_1002882","Yes","While in New Zealand"
"GEN24_1002883","No",NA
"GEN24_1002884","Yes","I did not receive any information"
"GEN24_1002888","Yes","I did not receive any information"
"GEN24_1002889","No",NA
"GEN24_1002892","Yes","I did not receive any information"
"GEN24_1002906","Yes","While in New Zealand"
"GEN24_1002912","Yes","I did not receive any information"
"GEN24_1002920","Yes","I did not receive any information"
"GEN24_1002921","Yes","Before arriving in New Zealand"
"GEN24_1002921","Yes","While in New Zealand"
"GEN24_1002929","Yes","While in New Zealand"
"GEN24_1002932","Yes","While in New Zealand"
"GEN24_1002943","Yes","I did not receive any information"
"GEN24_1002948","No",NA
"GEN24_1002951","Yes","I did not receive any information"
"GEN24_1002960","Yes","Before arriving in New Zealand"
"GEN24_1002971","No",NA
"GEN24_1002974","No",NA
"GEN24_1002978","Yes","Before arriving in New Zealand"
"GEN24_1002981","Yes","I did not receive any information"
"GEN24_1002986","No",NA
"GEN24_1002987","Yes","I did not receive any information"
"GEN24_1002988","No",NA
"GEN24_1002990","Yes","While in New Zealand"
"GEN24_1002997","Yes","While in New Zealand"
"GEN24_1003006","Yes","Before arriving in New Zealand"
"GEN24_1003021","Yes","Before arriving in New Zealand"
"GEN24_1003022","Yes","While in New Zealand"
"GEN24_1003026","No",NA
"GEN24_1003032","Yes","I did not receive any information"
"GEN24_1003042","No",NA
"GEN24_1003047","Yes","I did not receive any information"
"GEN24_1003058","Yes","While in New Zealand"
"GEN24_1003064","Yes","I did not receive any information"
"GEN24_1003072","Yes","I did not receive any information"
"GEN24_1003076","Yes","I did not receive any information"
"GEN24_1003077","No",NA
"GEN24_1003080","Yes","I did not receive any information"
"GEN24_1003081","Yes","I did not receive any information"
"GEN24_1003084","Yes","I did not receive any information"
"GEN24_1003098","Yes","I did not receive any information"
"GEN24_1003107","Yes","Before arriving in New Zealand"
"GEN24_1003107","Yes","While in New Zealand"
"GEN24_1003109","Yes","I did not receive any information"
"GEN24_1003118","Yes","I did not receive any information"
"GEN24_1003129","Yes","While in New Zealand"
"GEN24_1003131","No",NA
"GEN24_1003133","Yes","I did not receive any information"
"GEN24_1003161","No",NA
"GEN24_1003162","Yes","I did not receive any information"
"GEN24_1003175","No",NA
"GEN24_1003176","Yes","Before arriving in New Zealand"
"GEN24_1003176","Yes","While in New Zealand"
"GEN24_1003178","Yes","I did not receive any information"
"GEN24_1003181","Yes","I did not receive any information"
"GEN24_1003185","No",NA
"GEN24_1003189","No",NA
"GEN24_1003202","Yes","I did not receive any information"
"GEN24_1003203","Yes","Before arriving in New Zealand"
"GEN24_1003205","No",NA
"GEN24_1003206","Yes","Before arriving in New Zealand"
"GEN24_1003214","Yes","I did not receive any information"
"GEN24_1003215","Yes","I did not receive any information"
"GEN24_1003216","Yes","I did not receive any information"
"GEN24_1003217","Yes","While in New Zealand"
"GEN24_1003221","No",NA
"GEN24_1003223","Yes","I did not receive any information"
"GEN24_1003231","Yes","I did not receive any information"
"GEN24_1003235","No",NA
"GEN24_1003243","Yes","I did not receive any information"
"GEN24_1003250","Yes","I did not receive any information"
"GEN24_1003257","Yes","I did not receive any information"
"GEN24_1003259","Yes","While in New Zealand"
"GEN24_1003265","Yes","I did not receive any information"
"GEN24_1003268","No",NA
"GEN24_1003273","Yes","I did not receive any information"
"GEN24_1003278","Yes","Before arriving in New Zealand"
"GEN24_1003279","Yes","Before arriving in New Zealand"
"GEN24_1003279","Yes","While in New Zealand"
"GEN24_1003281","No",NA
"GEN24_1003283","Yes","I did not receive any information"
"GEN24_1003297","Yes","While in New Zealand"
"GEN24_1003314","Yes","Before arriving in New Zealand"
"GEN24_1003318","Yes","I did not receive any information"
"GEN24_1003319","No",NA
"GEN24_1003325","Yes","I did not receive any information"
"GEN24_1003337","Yes","Before arriving in New Zealand"
"GEN24_1003338","Yes","I did not receive any information"
"GEN24_1003339","Yes","I did not receive any information"
"GEN24_1003341","Yes","I did not receive any information"
"GEN24_1003354","Yes","I did not receive any information"
"GEN24_1003370","Yes","Before arriving in New Zealand"
"GEN24_1003371","Yes","Before arriving in New Zealand"
"GEN24_1003373","No",NA
"GEN24_1003376","Yes","I did not receive any information"
"GEN24_1003377","Yes","Before arriving in New Zealand"
"GEN24_1003379","Yes","Before arriving in New Zealand"
"GEN24_1003379","Yes","While in New Zealand"
"GEN24_1003387","No",NA
"GEN24_1003394","No",NA
"GEN24_1003398","Yes","I did not receive any information"
"GEN24_1003403","Yes","I did not receive any information"
"GEN24_1003415","Yes","While in New Zealand"
