"response_id","visited_before_or_after","country","nights"
"GEN24_1008446","After","Singapore",1
"GEN24_1008446","Before","Singapore",3
"GEN24_1008448","After","Singapore",2
"GEN24_1008448","Before","Singapore",1
"GEN24_1008453","After","Singapore",1
"GEN24_1008453","Before","Singapore",1
"GEN24_1008456","Before","England",1
"GEN24_1008457","Before","Singapore",2
"GEN24_1008463","After","Australia",10
"GEN24_1008463","Before","Australia",10
"GEN24_1008477","After","Australia",1
"GEN24_1008477","Before","Fiji",6
"GEN24_1008488","Before","Australia",6
"GEN24_1008492","Before","Australia",30
"GEN24_1008492","Before","Singapore",5
"GEN24_1008515","Before","Australia",1
"GEN24_1008523","After","Singapore",3
"GEN24_1008524","After","Cook Islands",7
"GEN24_1008524","Before","Cook Islands",7
"GEN24_1008525","After","Cook Islands",8
"GEN24_1008537","Before","United States of America",28
"GEN24_1008598","After","Singapore",3
"GEN24_1008598","Before","Australia",14
"GEN24_1008645","Before","Singapore",1
"GEN24_1008683","Before","Australia",1
"GEN24_1008710","Before","Australia",7
"GEN24_1008715","After","United States of America",4
"GEN24_1008715","Before","United Arab Emirates",3
"GEN24_1008719","After","Australia",6
"GEN24_1008719","After","Fiji",6
"GEN24_1008727","Before","Fiji",6
"GEN24_1008743","After","Australia",56
"GEN24_1008743","Before","Australia",19
"GEN24_1008752","After","Singapore",1
"GEN24_1008752","Before","Singapore",2
"GEN24_1008766","After","Australia",16
"GEN24_1008766","Before","Australia",15
"GEN24_1008785","After","Australia",10
"GEN24_1008794","After","Canada",2
"GEN24_1008794","Before","Australia",2
"GEN24_1008794","Before","United States of America",3
"GEN24_1008811","After","Switzerland",10
"GEN24_1008811","Before","Fiji",24
"GEN24_1008811","Before","Indonesia",15
"GEN24_1008824","Before","Singapore",1
"GEN24_1008830","After","Australia",1
"GEN24_1008836","After","Australia",2
"GEN24_1008836","Before","Australia",2
"GEN24_1008839","After","United States of America",15
"GEN24_1008839","Before","Mexico",5
"GEN24_1008861","After","Australia",2
"GEN24_1008897","After","Australia",10
"GEN24_1008921","After","Samoa",3
"GEN24_1008925","After","Australia",1
"GEN24_1008925","Before","Australia",1
"GEN24_1008955","After","Singapore",1
"GEN24_1008955","Before","Singapore",1
"GEN24_1008969","Before","Malaysia",1
"GEN24_1008971","Before","Malaysia",1
"GEN24_1008979","After","Australia",53
"GEN24_1008979","Before","Australia",30
"GEN24_1008995","After","Fiji",4
"GEN24_1008995","Before","Australia",35
"GEN24_1008995","Before","Fiji",4
"GEN24_1008995","Before","Singapore",4
"GEN24_1008997","After","Australia",1
"GEN24_1009018","After","Australia",15
"GEN24_1009018","Before","Australia",5
"GEN24_1009041","After","Fiji",3
"GEN24_1009041","Before","Australia",7
"GEN24_1009066","After","Australia",10
"GEN24_1009084","After","Australia",2
"GEN24_1009084","Before","Singapore",2
"GEN24_1009109","After","Australia",99
"GEN24_1009109","Before","Australia",99
"GEN24_1009165","After","Australia",45
"GEN24_1009165","Before","Canada",35
"GEN24_1009165","Before","United States of America",35
"GEN24_1009190","Before","Australia",10
"GEN24_1009198","After","Australia",3
"GEN24_1009206","After","Australia",1
"GEN24_1009220","Before","Australia",3
"GEN24_1009226","After","Australia",29
"GEN24_1009232","After","Australia",10
"GEN24_1009232","Before","Australia",5
"GEN24_1009276","After","Australia",1
"GEN24_1009276","Before","Australia",1
"GEN24_1009279","After","Australia",3
"GEN24_1009279","Before","Australia",2
"GEN24_1009295","Before","Malaysia",2
"GEN24_1009295","Before","Oman",7
"GEN24_1009303","Before","Australia",1
"GEN24_1009334","After","Australia",6
"GEN24_1009334","Before","Australia",6
"GEN24_1009349","After","United States of America",3
"GEN24_1009349","Before","Malaysia",3
"GEN24_1009375","After","Australia",1
"GEN24_1009375","Before","Australia",1
"GEN24_1009397","Before","Australia",33
"GEN24_1009398","Before","Singapore",3
"GEN24_1009400","After","Singapore",1
"GEN24_1009400","Before","Singapore",3
"GEN24_1009402","After","India",10
"GEN24_1009421","Before","Australia",3
"GEN24_1009436","Before","Singapore",1
"GEN24_1009492","Before","Australia",26
"GEN24_1009516","After","United States of America",4
