response_id,mobility_hearing_even_if_using_a_hearing_device,mobility_remembering_or_concentrating,mobility_seeing_even_when_wearing_glasses,mobility_walking_or_climbing_stairs
GEN24_1001624,4,3,4,4
GEN24_1001637,4,4,4,4
GEN24_1001641,4,4,3,4
GEN24_1001646,4,4,4,4
GEN24_1001651,4,4,4,4
GEN24_1001659,4,4,4,4
GEN24_1001666,4,4,4,3
GEN24_1001667,4,4,4,4
GEN24_1001669,4,4,4,4
GEN24_1001670,4,4,4,4
GEN24_1001671,4,4,4,4
GEN24_1001675,4,4,4,4
GEN24_1001681,4,4,4,4
GEN24_1001683,4,4,4,4
GEN24_1001688,4,4,4,4
GEN24_1001693,4,4,4,4
GEN24_1001696,4,4,4,4
GEN24_1001697,4,4,4,4
GEN24_1001700,4,4,4,4
GEN24_1001701,4,4,4,4
GEN24_1001702,4,3,4,4
GEN24_1001705,4,4,4,4
GEN24_1001711,3,4,4,4
GEN24_1001717,4,3,4,4
GEN24_1001718,4,4,3,4
GEN24_1001727,3,4,4,3
GEN24_1001728,4,4,4,4
GEN24_1001733,4,4,4,4
GEN24_1001738,4,4,4,4
GEN24_1001740,4,4,4,4
GEN24_1001742,4,4,4,4
GEN24_1001746,4,4,4,4
GEN24_1001747,4,4,4,4
GEN24_1001749,4,4,3,4
GEN24_1001755,4,4,4,4
GEN24_1001757,4,4,4,4
GEN24_1001758,4,4,4,4
GEN24_1001762,4,4,3,4
GEN24_1001763,4,3,3,3
GEN24_1001764,4,4,4,4
GEN24_1001765,4,4,4,4
GEN24_1001766,4,4,4,4
GEN24_1001771,4,4,4,4
GEN24_1001773,4,4,4,4
GEN24_1001775,4,4,4,4
GEN24_1001779,4,4,4,4
GEN24_1001782,4,4,4,4
GEN24_1001785,4,4,4,4
GEN24_1001790,4,4,4,4
GEN24_1001791,4,4,4,4
GEN24_1001793,4,4,4,4
GEN24_1001794,4,4,4,4
GEN24_1001796,4,3,2,4
GEN24_1001797,4,4,4,4
GEN24_1001798,4,4,4,4
GEN24_1001803,3,4,4,4
GEN24_1001805,4,4,4,4
GEN24_1001806,4,4,4,4
GEN24_1001809,4,3,3,4
GEN24_1001810,4,4,4,4
GEN24_1001811,4,4,4,4
GEN24_1001813,4,4,4,4
GEN24_1001818,4,4,4,4
GEN24_1001819,4,4,4,4
GEN24_1001822,4,4,4,4
GEN24_1001826,4,4,4,3
GEN24_1001835,4,4,3,4
GEN24_1001841,4,4,4,4
GEN24_1001843,4,4,4,4
GEN24_1001844,4,2,2,3
GEN24_1001848,4,4,4,4
GEN24_1001851,4,4,4,4
GEN24_1001852,4,4,4,4
GEN24_1001853,4,4,4,4
GEN24_1001854,4,4,4,4
GEN24_1001855,4,3,4,3
GEN24_1001856,4,4,4,4
GEN24_1001857,4,4,4,4
GEN24_1001862,4,4,4,4
GEN24_1001864,4,4,4,4
GEN24_1001865,4,4,4,4
GEN24_1001866,4,4,4,4
GEN24_1001872,4,4,4,4
GEN24_1001881,4,4,4,4
GEN24_1001884,4,4,4,4
GEN24_1001885,4,4,4,4
GEN24_1001887,4,3,4,4
GEN24_1001889,4,4,4,4
GEN24_1001893,4,4,4,4
GEN24_1001901,4,4,3,4
GEN24_1001904,4,4,4,4
GEN24_1001906,4,4,3,4
GEN24_1001908,4,4,4,4
GEN24_1001915,4,4,4,4
GEN24_1001917,4,4,4,4
GEN24_1001918,4,4,4,4
GEN24_1001921,4,4,4,4
GEN24_1001924,4,4,4,4
GEN24_1001930,4,4,4,4
GEN24_1001932,4,4,4,4
GEN24_1001933,4,4,4,4
GEN24_1001934,4,3,4,4
GEN24_1001935,4,4,4,4
GEN24_1001936,4,4,4,4
GEN24_1001940,4,4,4,4
GEN24_1001943,4,4,4,4
GEN24_1001944,4,4,4,4
GEN24_1001945,4,4,4,4
GEN24_1001948,3,4,4,4
GEN24_1001951,4,4,4,4
GEN24_1001955,4,4,4,4
GEN24_1001961,4,4,4,4
GEN24_1001963,4,4,2,3
GEN24_1001971,4,4,4,4
GEN24_1001972,4,4,4,4
GEN24_1001975,4,4,4,3
GEN24_1001976,4,4,4,4
GEN24_1001984,4,4,4,4
GEN24_1001985,4,4,4,4
GEN24_1001986,4,4,4,4
GEN24_1001987,4,4,4,4
GEN24_1001988,4,4,4,4
GEN24_1001992,4,3,3,4
GEN24_1001993,4,4,4,4
GEN24_1001998,4,4,4,3
GEN24_1002000,4,3,4,4
GEN24_1002003,4,4,3,4
GEN24_1002005,4,4,4,4
GEN24_1002007,4,4,4,4
GEN24_1002009,4,3,4,4
GEN24_1002010,4,4,4,4
GEN24_1002011,4,4,4,4
GEN24_1002013,4,4,4,4
GEN24_1002016,4,4,3,4
GEN24_1002017,4,4,3,4
GEN24_1002018,4,4,4,4
GEN24_1002020,4,4,4,3
GEN24_1002021,4,4,4,4
GEN24_1002022,4,4,4,4
GEN24_1002025,4,4,3,4
GEN24_1002026,4,4,4,4
GEN24_1002027,4,4,4,4
GEN24_1002030,4,4,4,4
GEN24_1002031,4,4,3,4
GEN24_1002032,4,4,4,4
GEN24_1002035,4,4,4,4
GEN24_1002037,4,4,4,4
GEN24_1002039,4,4,4,4
GEN24_1002042,4,4,4,4
GEN24_1002043,4,4,4,4
GEN24_1002046,4,4,4,4
GEN24_1002050,4,4,4,4
GEN24_1002052,4,4,4,4
GEN24_1002065,4,4,4,4
GEN24_1002072,4,4,4,4
GEN24_1002074,4,4,4,4
GEN24_1002077,4,4,4,4
GEN24_1002078,4,4,4,4
GEN24_1002079,4,4,4,4
GEN24_1002083,4,4,3,4
GEN24_1002088,4,4,4,4
GEN24_1002089,4,4,3,4
GEN24_1002092,4,4,4,4
GEN24_1002093,4,4,4,4
GEN24_1002094,4,4,3,4
GEN24_1002095,4,4,4,4
GEN24_1002096,4,4,4,4
GEN24_1002110,4,4,4,4
GEN24_1002111,4,4,4,4
GEN24_1002113,4,4,4,4
GEN24_1002114,4,4,4,4
GEN24_1002119,4,4,4,4
GEN24_1002121,4,4,4,4
GEN24_1002122,4,4,4,4
GEN24_1002128,4,4,4,4
GEN24_1002130,4,4,3,4
GEN24_1002138,4,4,4,4
GEN24_1002147,4,4,4,4
GEN24_1002149,4,4,4,4
GEN24_1002157,4,4,4,4
GEN24_1002158,4,4,4,3
GEN24_1002160,4,3,4,3
GEN24_1002171,4,4,4,4
GEN24_1002172,4,4,4,4
GEN24_1002177,3,4,4,3
GEN24_1002180,4,4,4,4
GEN24_1002182,4,4,4,4
GEN24_1002191,4,4,4,4
GEN24_1002195,4,4,4,3
GEN24_1002200,4,4,4,4
GEN24_1002201,4,4,4,4
GEN24_1002210,4,4,4,4
GEN24_1002211,4,4,4,4
GEN24_1002221,4,4,4,4
GEN24_1002226,4,4,4,4
GEN24_1002229,4,4,4,4
GEN24_1002231,4,4,4,4
GEN24_1002242,4,4,4,4
GEN24_1002244,4,4,4,4
GEN24_1002250,4,4,4,4
GEN24_1002251,4,4,4,4
GEN24_1002256,4,4,4,4
GEN24_1002258,4,4,4,4
GEN24_1002259,4,4,4,4
GEN24_1002279,4,4,4,4
GEN24_1002284,3,4,3,3
GEN24_1002291,4,4,4,4
GEN24_1002297,4,4,4,4
GEN24_1002298,4,4,4,4
GEN24_1002301,4,4,4,4
GEN24_1002304,4,4,4,4
GEN24_1002306,4,4,4,4
GEN24_1002307,4,4,4,4
GEN24_1002308,4,4,4,4
GEN24_1002310,4,4,4,4
GEN24_1002312,4,4,4,4
GEN24_1002313,3,3,3,3
GEN24_1002321,4,4,4,4
GEN24_1002331,4,4,3,4
GEN24_1002334,4,4,4,4
GEN24_1002338,4,4,4,4
GEN24_1002344,3,3,3,4
GEN24_1002345,4,4,4,4
GEN24_1002346,4,4,4,4
GEN24_1002351,4,4,4,4
GEN24_1002353,4,4,4,4
GEN24_1002354,4,4,4,4
GEN24_1002361,4,4,4,4
GEN24_1002366,4,4,4,4
GEN24_1002367,4,4,4,4
GEN24_1002369,4,4,4,4
GEN24_1002370,4,4,4,4
GEN24_1002372,4,4,4,4
GEN24_1002374,4,4,4,4
GEN24_1002375,3,4,4,4
GEN24_1002380,4,4,4,4
GEN24_1002381,4,4,4,4
GEN24_1002382,4,4,4,4
GEN24_1002383,4,4,4,4
GEN24_1002384,4,4,4,4
GEN24_1002396,4,4,4,4
GEN24_1002399,4,4,4,3
GEN24_1002400,4,4,4,4
GEN24_1002403,4,4,4,4
GEN24_1002413,4,4,4,4
GEN24_1002414,4,4,4,4
GEN24_1002416,4,4,4,1
GEN24_1002426,4,4,4,4
GEN24_1002428,4,4,4,4
GEN24_1002430,4,4,3,4
GEN24_1002435,4,4,4,4
GEN24_1002436,4,4,4,4
GEN24_1002437,4,4,4,4
GEN24_1002438,4,4,4,4
GEN24_1002442,4,4,4,4
GEN24_1002443,3,3,4,4
GEN24_1002445,4,4,4,4
GEN24_1002446,4,4,4,4
GEN24_1002447,4,4,4,4
GEN24_1002450,4,4,4,4
GEN24_1002451,4,4,4,4
GEN24_1002452,4,4,4,4
GEN24_1002466,4,4,4,4
GEN24_1002470,4,4,4,4
GEN24_1002475,4,4,4,4
GEN24_1002478,4,4,4,4
GEN24_1002481,4,4,4,4
GEN24_1002488,4,4,4,4
GEN24_1002491,4,3,2,3
GEN24_1002496,4,4,4,4
GEN24_1002498,4,4,4,4
GEN24_1002505,4,4,4,4
GEN24_1002507,4,2,4,4
GEN24_1002508,4,4,4,4
GEN24_1002509,4,4,4,4
GEN24_1002510,4,4,4,4
GEN24_1002513,4,4,4,3
GEN24_1002514,4,4,4,4
GEN24_1002519,4,4,4,4
GEN24_1002524,4,4,4,4
GEN24_1002525,4,4,1,4
GEN24_1002530,4,3,4,3
GEN24_1002536,4,4,4,4
GEN24_1002538,4,4,4,4
GEN24_1002544,4,4,4,4
GEN24_1002546,4,4,4,3
GEN24_1002549,4,4,4,4
GEN24_1002550,4,4,4,4
GEN24_1002553,4,4,4,4
GEN24_1002554,4,4,4,4
GEN24_1002556,4,4,4,1
GEN24_1002559,4,4,4,4
GEN24_1002561,4,4,4,4
GEN24_1002566,4,4,4,4
GEN24_1002580,4,4,4,4
GEN24_1002582,4,4,4,4
GEN24_1002583,4,4,4,4
GEN24_1002584,4,4,4,4
GEN24_1002585,4,4,4,4
GEN24_1002588,4,4,4,4
GEN24_1002592,4,4,4,4
GEN24_1002593,4,4,4,4
GEN24_1002594,4,4,4,4
GEN24_1002597,4,4,4,4
GEN24_1002607,4,4,4,4
GEN24_1002620,4,4,4,4
GEN24_1002627,4,4,4,4
GEN24_1002629,4,4,4,4
GEN24_1002635,4,4,4,4
GEN24_1002640,4,4,4,4
GEN24_1002642,4,4,4,4
GEN24_1002666,4,4,4,4
GEN24_1002667,4,4,4,4
GEN24_1002668,4,4,3,4
GEN24_1002670,4,4,3,4
GEN24_1002671,4,4,4,4
GEN24_1002672,4,4,4,4
GEN24_1002673,4,4,4,4
GEN24_1002674,4,4,4,4
GEN24_1002677,4,4,4,4
GEN24_1002681,4,4,3,4
GEN24_1002687,4,4,4,4
GEN24_1002688,4,4,4,4
GEN24_1002694,4,4,4,4
GEN24_1002707,4,4,4,4
GEN24_1002717,4,4,4,4
GEN24_1002725,4,4,4,3
GEN24_1002727,4,4,4,4
GEN24_1002731,4,4,4,4
GEN24_1002732,4,4,4,4
GEN24_1002733,4,4,4,4
GEN24_1002741,4,4,4,4
GEN24_1002753,4,4,4,4
GEN24_1002758,4,4,4,3
GEN24_1002760,4,4,4,4
GEN24_1002762,4,4,4,4
GEN24_1002763,4,4,3,4
GEN24_1002770,4,4,4,4
GEN24_1002771,4,4,4,4
GEN24_1002774,4,4,3,4
GEN24_1002778,4,4,4,4
GEN24_1002782,4,4,4,4
GEN24_1002786,4,3,4,4
GEN24_1002794,4,4,4,4
GEN24_1002797,4,4,4,4
GEN24_1002799,4,4,4,4
GEN24_1002801,4,4,4,4
GEN24_1002803,4,4,4,2
GEN24_1002804,4,4,4,4
GEN24_1002807,4,4,4,4
GEN24_1002808,3,4,4,4
GEN24_1002812,4,4,3,4
GEN24_1002813,4,4,4,4
GEN24_1002816,4,4,4,4
GEN24_1002817,3,4,4,4
GEN24_1002819,4,3,4,4
GEN24_1002820,4,4,4,4
GEN24_1002824,4,4,4,4
GEN24_1002826,4,3,4,2
GEN24_1002836,4,4,4,4
GEN24_1002838,4,4,4,4
GEN24_1002839,3,3,4,3
GEN24_1002840,4,4,4,4
GEN24_1002848,4,4,3,3
GEN24_1002853,4,4,4,4
GEN24_1002855,4,3,4,3
GEN24_1002856,4,4,4,2
GEN24_1002858,4,4,4,4
GEN24_1002860,4,4,4,4
GEN24_1002864,4,4,4,4
GEN24_1002865,4,4,4,4
GEN24_1002874,4,4,4,4
GEN24_1002880,4,4,3,3
GEN24_1002881,4,4,4,4
GEN24_1002882,4,4,4,4
GEN24_1002883,4,4,3,4
GEN24_1002884,4,4,4,4
GEN24_1002888,4,4,4,4
GEN24_1002889,4,4,4,4
GEN24_1002892,4,4,4,3
GEN24_1002894,4,4,4,4
GEN24_1002906,4,4,4,4
GEN24_1002907,4,4,4,4
GEN24_1002912,4,4,4,4
GEN24_1002919,4,4,4,4
GEN24_1002920,3,4,3,3
GEN24_1002921,4,4,4,4
GEN24_1002922,4,4,4,4
GEN24_1002929,4,4,4,4
GEN24_1002932,4,4,4,4
GEN24_1002940,4,4,3,4
GEN24_1002943,4,4,4,4
GEN24_1002946,4,4,4,4
GEN24_1002948,4,4,4,4
GEN24_1002951,4,4,4,4
GEN24_1002952,4,4,4,4
GEN24_1002960,4,4,4,4
GEN24_1002969,4,4,4,4
GEN24_1002971,4,4,4,4
GEN24_1002974,4,4,4,4
GEN24_1002978,4,4,4,4
GEN24_1002981,4,4,4,3
GEN24_1002982,4,4,3,4
GEN24_1002984,4,4,4,4
GEN24_1002985,4,4,4,4
GEN24_1002986,4,4,4,4
GEN24_1002987,4,4,4,4
GEN24_1002988,4,4,4,4
GEN24_1002990,4,4,4,4
GEN24_1002997,4,4,4,4
GEN24_1003006,4,4,4,4
GEN24_1003021,4,4,4,4
GEN24_1003022,4,4,4,4
GEN24_1003025,4,4,4,4
GEN24_1003026,4,4,4,4
GEN24_1003029,4,4,4,4
GEN24_1003032,4,4,4,4
GEN24_1003042,4,4,4,4
GEN24_1003047,4,4,3,4
GEN24_1003058,4,4,4,4
GEN24_1003061,4,4,4,4
GEN24_1003064,4,4,4,4
GEN24_1003065,4,4,4,4
GEN24_1003066,4,4,4,4
GEN24_1003072,4,4,4,4
GEN24_1003076,4,3,4,2
GEN24_1003077,4,4,4,4
GEN24_1003079,4,4,4,4
GEN24_1003080,4,4,4,4
GEN24_1003081,4,4,4,3
GEN24_1003084,4,3,3,4
GEN24_1003092,4,4,4,4
GEN24_1003098,4,4,4,4
GEN24_1003106,4,4,3,4
GEN24_1003107,4,4,3,3
GEN24_1003109,4,4,4,4
GEN24_1003115,4,4,4,4
GEN24_1003116,4,4,4,4
GEN24_1003118,4,4,4,4
GEN24_1003129,4,4,3,4
GEN24_1003131,4,4,4,4
GEN24_1003133,4,4,4,4
GEN24_1003138,4,4,4,4
GEN24_1003142,4,4,4,4
GEN24_1003143,4,4,4,4
GEN24_1003146,4,4,4,4
GEN24_1003148,4,4,3,4
GEN24_1003149,4,4,4,4
GEN24_1003151,4,4,4,4
GEN24_1003158,4,4,4,4
GEN24_1003161,4,4,4,4
GEN24_1003162,4,4,4,4
GEN24_1003175,4,4,4,4
GEN24_1003176,4,3,3,3
GEN24_1003178,4,4,4,4
GEN24_1003181,3,4,4,3
GEN24_1003185,4,4,4,4
GEN24_1003189,4,3,4,3
GEN24_1003202,4,4,4,3
GEN24_1003203,4,4,4,4
GEN24_1003205,4,4,4,4
GEN24_1003206,4,4,4,3
GEN24_1003209,4,4,4,4
GEN24_1003214,4,4,4,4
GEN24_1003215,4,4,4,4
GEN24_1003216,4,4,4,4
GEN24_1003217,4,4,4,4
GEN24_1003221,4,4,4,4
GEN24_1003223,4,3,4,4
GEN24_1003231,4,4,4,4
GEN24_1003235,4,4,3,3
GEN24_1003240,4,4,3,3
GEN24_1003243,4,4,4,4
GEN24_1003250,4,3,3,4
GEN24_1003257,4,4,4,4
GEN24_1003259,3,4,4,3
GEN24_1003265,4,4,4,4
GEN24_1003268,4,4,4,4
GEN24_1003269,3,4,3,3
GEN24_1003273,4,4,4,4
GEN24_1003277,4,4,4,4
GEN24_1003278,4,4,4,4
GEN24_1003279,4,4,4,4
GEN24_1003280,4,4,4,4
GEN24_1003281,4,4,4,4
GEN24_1003283,4,4,4,4
GEN24_1003290,4,4,4,4
GEN24_1003297,4,4,4,4
GEN24_1003314,4,4,4,4
GEN24_1003318,4,4,4,4
GEN24_1003319,4,4,4,4
GEN24_1003320,4,4,4,4
GEN24_1003323,4,4,4,4
GEN24_1003325,4,4,4,4
GEN24_1003330,4,3,4,4
GEN24_1003337,4,4,4,4
GEN24_1003338,4,4,4,4
GEN24_1003339,4,4,4,3
GEN24_1003341,4,4,4,4
GEN24_1003345,4,4,4,4
GEN24_1003347,3,4,4,4
GEN24_1003354,4,4,4,4
GEN24_1003370,4,4,4,4
GEN24_1003371,4,4,4,4
