response_id,other_countries_visited_other_countries,other_countries_no_countries_visited,other_countries_visited_before,other_countries_visited_after
GEN24_1002229,1,1,0,1
GEN24_1002284,1,1,0,1
GEN24_1002297,1,1,1,0
GEN24_1002298,1,1,1,0
GEN24_1002345,1,1,0,1
GEN24_1002346,1,1,0,1
GEN24_1002361,1,1,1,1
GEN24_1002369,1,1,1,0
GEN24_1002383,1,1,0,1
GEN24_1002384,1,1,1,0
GEN24_1002436,1,1,1,1
GEN24_1002443,1,1,1,0
GEN24_1002488,1,1,0,1
GEN24_1002514,1,1,0,1
GEN24_1002536,1,1,0,1
GEN24_1002559,1,1,0,1
GEN24_1002561,1,1,1,0
GEN24_1002585,1,1,1,1
GEN24_1002671,1,1,1,1
GEN24_1002674,1,1,1,0
GEN24_1002677,1,1,0,1
GEN24_1002717,1,1,1,0
GEN24_1002762,1,1,1,0
GEN24_1002786,1,1,0,1
GEN24_1002853,1,1,1,0
GEN24_1002856,1,1,0,1
GEN24_1002858,1,1,0,1
GEN24_1002951,1,1,1,0
GEN24_1003081,1,1,1,0
GEN24_1003092,1,1,1,0
GEN24_1003116,1,1,1,1
GEN24_1003118,1,1,0,1
GEN24_1003142,1,1,0,1
GEN24_1003146,1,1,1,1
GEN24_1003158,1,1,1,0
GEN24_1003162,1,1,1,0
GEN24_1003202,1,2,1,0
GEN24_1003206,1,1,1,1
GEN24_1003209,1,1,0,1
GEN24_1003217,1,2,1,1
GEN24_1003235,1,1,1,1
GEN24_1003273,1,1,1,0
GEN24_1003280,1,1,0,1
GEN24_1003323,1,1,0,1
GEN24_1003354,1,1,1,1
GEN24_1003378,1,1,0,1
GEN24_1003379,1,1,1,1
GEN24_1003435,1,1,1,1
GEN24_1003454,1,1,1,1
GEN24_1003456,1,1,1,0
GEN24_1003472,1,1,1,1
GEN24_1003503,1,5,1,1
GEN24_1003528,1,1,1,0
GEN24_1003538,1,1,0,1
GEN24_1003570,1,1,1,1
GEN24_1003622,1,1,1,0
GEN24_1003736,1,1,0,1
GEN24_1003738,1,1,1,0
GEN24_1003750,1,2,1,1
GEN24_1003760,1,1,0,1
GEN24_1003767,1,1,0,1
GEN24_1003783,1,1,1,1
GEN24_1003803,1,1,0,1
GEN24_1003842,1,1,0,1
GEN24_1003853,1,2,1,1
GEN24_1003857,1,1,1,1
GEN24_1003907,1,1,1,1
GEN24_1003908,1,1,1,1
GEN24_1003909,1,1,1,1
GEN24_1003960,1,1,1,0
GEN24_1003964,1,1,1,0
GEN24_1003974,1,1,0,1
GEN24_1004009,1,1,1,0
GEN24_1004024,1,1,1,0
GEN24_1004049,1,1,1,1
GEN24_1004051,1,1,1,0
GEN24_1004054,1,1,1,0
GEN24_1004057,1,4,1,1
GEN24_1004094,1,1,1,0
GEN24_1004109,1,1,1,0
GEN24_1004149,1,3,1,0
GEN24_1004154,1,1,1,0
GEN24_1004157,1,1,1,0
GEN24_1004183,1,1,1,0
GEN24_1004293,1,3,1,1
GEN24_1004294,1,1,0,1
GEN24_1004301,1,1,1,0
GEN24_1004351,1,1,1,0
GEN24_1004355,1,1,1,1
GEN24_1004377,1,1,1,1
GEN24_1004403,1,1,1,1
GEN24_1004418,1,1,0,1
GEN24_1004425,1,1,0,1
GEN24_1004500,1,1,1,0
GEN24_1004522,1,1,1,0
GEN24_1004527,1,1,1,0
GEN24_1004569,1,1,0,1
GEN24_1004599,1,2,1,1
GEN24_1004603,1,1,1,0
GEN24_1004623,1,1,1,0
GEN24_1004641,1,3,1,1
GEN24_1004643,1,1,1,0
GEN24_1004652,1,1,1,0
GEN24_1004672,1,1,1,1
GEN24_1004685,1,1,1,1
GEN24_1004701,1,1,1,0
GEN24_1004761,1,1,1,1
GEN24_1004872,1,1,1,1
GEN24_1004881,1,1,1,0
GEN24_1004902,1,1,1,0
GEN24_1004906,1,1,1,1
GEN24_1004920,1,2,1,1
GEN24_1004928,1,2,1,1
GEN24_1004935,1,1,0,1
GEN24_1004943,1,1,1,0
GEN24_1004974,1,1,0,1
GEN24_1005003,1,1,1,1
GEN24_1005034,1,1,1,0
GEN24_1005036,1,1,1,1
GEN24_1005069,1,1,1,0
GEN24_1005095,1,1,0,1
GEN24_1005101,1,1,0,1
GEN24_1005107,1,1,0,1
GEN24_1005111,1,1,1,1
GEN24_1005138,1,1,0,1
GEN24_1005141,1,1,0,1
GEN24_1005152,1,2,1,1
GEN24_1005164,1,2,1,1
GEN24_1005173,1,1,1,1
GEN24_1005180,1,1,1,0
GEN24_1005181,1,1,1,0
GEN24_1005206,1,1,1,0
GEN24_1005216,1,1,1,0
GEN24_1005217,1,2,1,1
GEN24_1005218,1,1,1,0
GEN24_1005226,1,1,0,1
GEN24_1005273,1,1,0,1
GEN24_1005303,1,2,1,0
GEN24_1005324,1,1,1,1
GEN24_1005343,1,2,1,1
GEN24_1005350,1,4,1,1
GEN24_1005369,1,2,1,0
GEN24_1005372,1,1,1,1
GEN24_1005394,1,1,1,1
GEN24_1005411,1,1,1,0
GEN24_1005424,1,1,1,0
GEN24_1005425,1,1,1,0
GEN24_1005452,1,2,1,1
GEN24_1005457,1,2,1,1
GEN24_1005527,1,2,1,1
GEN24_1005552,1,1,1,1
GEN24_1005599,1,1,1,0
GEN24_1005606,1,2,1,0
GEN24_1005608,1,1,1,0
GEN24_1005611,1,2,1,0
GEN24_1005630,1,1,1,0
GEN24_1005642,1,1,1,0
GEN24_1005645,1,1,1,0
GEN24_1005661,1,1,0,1
GEN24_1005667,1,1,0,1
GEN24_1005705,1,4,1,0
GEN24_1005725,1,2,1,1
GEN24_1005726,1,1,1,0
GEN24_1005767,1,1,1,1
GEN24_1005768,1,1,1,1
GEN24_1005769,1,2,1,1
GEN24_1005774,1,1,0,1
GEN24_1005784,1,1,1,0
GEN24_1005785,1,1,1,0
GEN24_1005823,1,1,1,1
GEN24_1005825,1,1,1,0
GEN24_1005842,1,1,0,1
GEN24_1005866,1,1,0,1
GEN24_1005884,1,4,0,1
GEN24_1005897,1,1,0,1
GEN24_1005901,1,1,1,0
GEN24_1005913,1,4,1,1
GEN24_1005914,1,1,1,0
GEN24_1005915,1,1,1,0
GEN24_1005917,1,1,1,0
GEN24_1005918,1,1,1,0
GEN24_1005919,1,1,1,0
GEN24_1005920,1,1,1,0
GEN24_1005921,1,1,1,0
GEN24_1005925,1,1,1,1
GEN24_1005926,1,1,1,1
GEN24_1005931,1,2,1,1
GEN24_1005932,1,1,1,0
GEN24_1005936,1,3,1,1
GEN24_1005939,1,1,1,1
GEN24_1005942,1,1,1,1
GEN24_1005947,1,1,1,1
GEN24_1005980,1,1,1,1
GEN24_1005981,1,1,1,0
GEN24_1005983,1,1,1,1
GEN24_1006003,1,1,1,0
GEN24_1006026,1,1,0,1
GEN24_1006057,1,1,1,1
GEN24_1006074,1,1,1,0
GEN24_1006084,1,1,1,0
GEN24_1006094,1,1,1,0
GEN24_1006097,1,1,1,1
GEN24_1006122,1,2,1,1
GEN24_1006150,1,3,1,1
GEN24_1006152,1,1,1,0
GEN24_1006164,1,5,1,1
GEN24_1006169,1,1,1,1
GEN24_1006177,1,1,1,1
GEN24_1006184,1,1,1,1
GEN24_1006205,1,3,1,1
GEN24_1006235,1,1,1,0
GEN24_1006248,1,1,1,0
GEN24_1006260,1,1,1,0
GEN24_1006280,1,2,1,1
GEN24_1006284,1,1,1,0
GEN24_1006285,1,1,1,0
GEN24_1006296,1,1,0,1
GEN24_1006301,1,1,1,0
GEN24_1006311,1,2,0,1
GEN24_1006314,1,2,1,1
GEN24_1006320,1,1,1,1
GEN24_1006377,1,1,1,0
GEN24_1006443,1,2,1,1
GEN24_1006460,1,4,1,0
GEN24_1006497,1,2,1,1
GEN24_1006498,1,1,1,0
GEN24_1006522,1,1,0,1
GEN24_1006587,1,1,1,0
GEN24_1006611,1,1,0,1
GEN24_1006621,1,1,1,1
GEN24_1006637,1,1,1,0
GEN24_1006649,1,2,1,1
GEN24_1006652,1,1,0,1
GEN24_1006655,1,1,1,0
GEN24_1006674,1,1,0,1
GEN24_1006679,1,1,1,0
GEN24_1006687,1,1,1,0
GEN24_1006693,1,2,1,1
GEN24_1006701,1,1,1,0
GEN24_1006702,1,1,0,1
GEN24_1006704,1,5,1,1
GEN24_1006770,1,1,0,1
GEN24_1006773,1,1,1,0
GEN24_1006795,1,1,1,1
GEN24_1006820,1,3,1,0
GEN24_1006828,1,1,0,1
GEN24_1006836,1,1,0,1
GEN24_1006854,1,1,0,1
GEN24_1006881,1,2,1,1
GEN24_1006891,1,1,1,1
GEN24_1006928,1,1,0,1
GEN24_1006944,1,1,1,1
GEN24_1007020,1,1,1,1
GEN24_1007092,1,2,1,1
GEN24_1007113,1,3,1,1
GEN24_1007129,1,1,0,1
GEN24_1007132,1,1,1,0
GEN24_1007155,1,1,0,1
GEN24_1007210,1,2,1,1
GEN24_1007215,1,1,1,0
GEN24_1007260,1,1,0,1
GEN24_1007275,1,1,0,1
GEN24_1007293,1,1,1,1
GEN24_1007312,1,1,1,1
GEN24_1007329,1,1,1,1
GEN24_1007342,1,1,0,1
GEN24_1007364,1,1,1,1
GEN24_1007367,1,1,1,0
GEN24_1007368,1,1,1,0
GEN24_1007413,1,2,1,1
GEN24_1007418,1,1,0,1
GEN24_1007422,1,1,1,0
GEN24_1007437,1,1,1,0
GEN24_1007485,1,1,1,1
GEN24_1007499,1,1,1,0
GEN24_1007603,1,1,1,1
GEN24_1007638,1,1,0,1
GEN24_1007643,1,1,1,0
GEN24_1007645,1,1,1,0
GEN24_1007647,1,2,1,1
GEN24_1007692,1,2,0,1
GEN24_1007699,1,1,1,1
GEN24_1007715,1,1,1,0
GEN24_1007731,1,1,1,0
GEN24_1007747,1,1,0,1
GEN24_1007757,1,1,1,0
GEN24_1007779,1,1,1,1
GEN24_1007781,1,1,1,0
GEN24_1007783,1,1,0,1
GEN24_1007793,1,1,1,1
GEN24_1007824,1,1,1,1
GEN24_1007857,1,1,1,0
GEN24_1007862,1,1,1,0
GEN24_1007875,1,1,0,1
GEN24_1007917,1,1,1,1
GEN24_1007925,1,1,1,1
GEN24_1007930,1,1,1,1
GEN24_1007941,1,3,0,1
GEN24_1007996,1,1,0,1
GEN24_1008021,1,1,1,0
GEN24_1008027,1,1,1,0
GEN24_1008068,1,1,1,0
GEN24_1008073,1,2,1,1
GEN24_1008091,1,1,1,0
GEN24_1008121,1,1,0,1
GEN24_1008132,1,2,1,0
GEN24_1008160,1,1,1,0
GEN24_1008171,1,1,1,0
GEN24_1008175,1,1,1,1
GEN24_1008236,1,1,0,1
GEN24_1008277,1,1,1,1
GEN24_1008288,1,1,1,0
GEN24_1008303,1,2,0,1
GEN24_1008308,1,1,1,0
GEN24_1008310,1,1,1,0
GEN24_1008311,1,1,0,1
GEN24_1008326,1,2,1,1
GEN24_1008354,1,1,1,1
GEN24_1008368,1,1,1,0
GEN24_1008369,1,1,1,1
GEN24_1008403,1,1,1,1
GEN24_1008417,1,1,1,1
GEN24_1008427,1,1,1,1
GEN24_1008446,1,1,1,1
GEN24_1008448,1,1,1,1
GEN24_1008453,1,1,1,1
GEN24_1008456,1,1,1,0
GEN24_1008457,1,1,1,0
GEN24_1008463,1,1,1,1
GEN24_1008477,1,2,1,1
GEN24_1008488,1,1,1,0
GEN24_1008492,1,2,1,0
GEN24_1008515,1,1,1,0
GEN24_1008523,1,1,0,1
GEN24_1008524,1,1,1,1
GEN24_1008525,1,1,0,1
GEN24_1008537,1,1,1,0
GEN24_1008598,1,2,1,1
GEN24_1008645,1,1,1,0
GEN24_1008683,1,1,1,0
GEN24_1008710,1,1,1,0
GEN24_1008715,1,2,1,1
GEN24_1008719,1,2,0,1
GEN24_1008727,1,1,1,0
GEN24_1008743,1,1,1,1
GEN24_1008752,1,1,1,1
GEN24_1008766,1,1,1,1
GEN24_1008785,1,1,0,1
GEN24_1008794,1,3,1,1
GEN24_1008811,1,3,1,1
GEN24_1008824,1,1,1,0
GEN24_1008830,1,1,0,1
GEN24_1008836,1,1,1,1
GEN24_1008839,1,2,1,1
GEN24_1008861,1,1,0,1
GEN24_1008897,1,1,0,1
GEN24_1008921,1,1,0,1
GEN24_1008925,1,1,1,1
GEN24_1008955,1,1,1,1
GEN24_1008969,1,1,1,0
GEN24_1008971,1,1,1,0
GEN24_1008979,1,1,1,1
GEN24_1008995,1,3,1,1
GEN24_1008997,1,1,0,1
GEN24_1009018,1,1,1,1
GEN24_1009041,1,2,1,1
GEN24_1009066,1,1,0,1
GEN24_1009084,1,2,1,1
GEN24_1009109,1,1,1,1
GEN24_1009165,1,3,1,1
GEN24_1009190,1,1,1,0
GEN24_1009198,1,1,0,1
GEN24_1009206,1,1,0,1
GEN24_1009220,1,1,1,0
GEN24_1009226,1,1,0,1
GEN24_1009232,1,1,1,1
GEN24_1009276,1,1,1,1
GEN24_1009279,1,1,1,1
GEN24_1009295,1,2,1,0
GEN24_1009303,1,1,1,0
GEN24_1009334,1,1,1,1
GEN24_1009349,1,2,1,1
GEN24_1009375,1,1,1,1
GEN24_1009397,1,1,1,0
GEN24_1009398,1,1,1,0
GEN24_1009400,1,1,1,1
GEN24_1009402,1,1,0,1
GEN24_1009421,1,1,1,0
GEN24_1009436,1,1,1,0
GEN24_1009492,1,1,1,0
GEN24_1009516,1,1,0,1
GEN24_1009574,1,2,1,1
GEN24_1009611,1,1,1,1
GEN24_1009621,1,1,0,1
GEN24_1009650,1,1,0,1
GEN24_1009666,1,3,1,1
GEN24_1009675,1,1,1,0
GEN24_1009715,1,1,0,1
GEN24_1009718,1,1,0,1
GEN24_1009721,1,1,1,0
GEN24_1009732,1,1,0,1
GEN24_1009753,1,1,1,1
GEN24_1009755,1,1,1,0
GEN24_1009757,1,1,1,0
GEN24_1009763,1,2,1,1
GEN24_1009766,1,1,1,0
GEN24_1009776,1,1,1,0
GEN24_1009791,1,1,1,1
GEN24_1009806,1,2,1,1
GEN24_1009843,1,2,1,1
GEN24_1009850,1,1,1,1
GEN24_1009900,1,1,0,1
GEN24_1009903,1,1,1,0
GEN24_1009909,1,1,1,0
GEN24_1009924,1,1,1,1
GEN24_1009929,1,1,1,0
GEN24_1009930,1,1,1,1
GEN24_1009958,1,1,0,1
GEN24_1009960,1,1,0,1
GEN24_1009965,1,1,1,0
GEN24_1009994,1,1,0,1
GEN24_1009997,1,2,1,1
GEN24_1009998,1,2,1,1
GEN24_1010001,1,1,1,0
GEN24_1010013,1,1,1,0
GEN24_1010036,1,1,1,0
GEN24_1010051,1,1,0,1
GEN24_1010053,1,1,1,1
GEN24_1010090,1,1,1,0
GEN24_1010094,1,1,1,1
GEN24_1010098,1,1,1,0
GEN24_1010107,1,1,0,1
GEN24_1010108,1,4,1,0
GEN24_1010131,1,1,1,0
GEN24_1010141,1,4,1,1
GEN24_1010150,1,1,1,0
GEN24_1010179,1,2,1,0
GEN24_1010189,1,2,1,1
GEN24_1010190,1,1,1,1
GEN24_1010192,1,2,1,1
GEN24_1010218,1,2,1,1
GEN24_1010241,1,1,1,0
GEN24_1010245,1,1,1,0
GEN24_1010249,1,4,1,0
GEN24_1010258,1,1,0,1
GEN24_1010261,1,1,1,1
GEN24_1010284,1,1,1,0
GEN24_1010300,1,2,1,1
GEN24_1010310,1,2,1,1
GEN24_1010311,1,1,1,0
GEN24_1010312,1,1,0,1
GEN24_1010313,1,1,1,0
GEN24_1010344,1,1,1,0
GEN24_1010363,1,2,1,1
GEN24_1010367,1,2,1,0
GEN24_1010376,1,1,0,1
GEN24_1010378,1,1,0,1
GEN24_1010382,1,1,0,1
GEN24_1010400,1,1,1,1
GEN24_1010410,1,1,1,0
GEN24_1010446,1,2,1,1
GEN24_1010480,1,1,1,1
GEN24_1010524,1,1,1,1
GEN24_1010525,1,1,1,0
GEN24_1010531,1,1,0,1
GEN24_1010532,1,2,1,1
GEN24_1010537,1,1,0,1
GEN24_1010562,1,1,1,0
GEN24_1010564,1,1,1,0
GEN24_1010577,1,1,1,0
GEN24_1010595,1,1,1,1
GEN24_1010598,1,1,1,1
GEN24_1010620,1,1,1,0
GEN24_1010628,1,1,0,1
GEN24_1010674,1,2,1,1
GEN24_1010707,1,1,1,1
GEN24_1010735,1,1,1,0
GEN24_1010750,1,1,0,1
GEN24_1010753,1,2,1,1
GEN24_1010756,1,1,1,0
GEN24_1010791,1,1,0,1
GEN24_1010796,1,1,1,1
GEN24_1010800,1,1,1,0
GEN24_1010804,1,1,0,1
GEN24_1010831,1,1,1,1
GEN24_1010878,1,1,0,1
GEN24_1010886,1,1,1,0
GEN24_1010888,1,1,1,0
GEN24_1010898,1,2,0,1
GEN24_1010913,1,4,1,0
GEN24_1010922,1,7,1,1
GEN24_1010924,1,1,1,0
GEN24_1010927,1,1,1,0
GEN24_1010948,1,1,1,0
GEN24_1010954,1,1,0,1
GEN24_1010970,1,1,1,0
GEN24_1010972,1,2,1,1
GEN24_1010976,1,1,1,0
GEN24_1010980,1,1,1,0
GEN24_1010992,1,4,1,0
GEN24_1011000,1,1,1,0
GEN24_1011007,1,1,1,1
GEN24_1011021,1,1,1,1
GEN24_1011025,1,1,1,0
GEN24_1011030,1,1,0,1
GEN24_1011045,1,1,0,1
GEN24_1011058,1,2,1,1
GEN24_1011069,1,2,1,1
GEN24_1011071,1,1,1,1
GEN24_1011090,1,1,1,1
GEN24_1011094,1,1,1,1
GEN24_1011096,1,1,1,0
GEN24_1011097,1,1,1,1
GEN24_1011106,1,1,1,0
GEN24_1011107,1,2,1,1
GEN24_1011120,1,1,1,0
GEN24_1011127,1,2,1,1
GEN24_1011152,1,2,1,1
GEN24_1011155,1,2,1,1
GEN24_1011156,1,1,1,0
GEN24_1011161,1,2,1,1
GEN24_1011164,1,1,1,0
GEN24_1011184,1,1,0,1
GEN24_1011194,1,1,0,1
GEN24_1011199,1,2,1,1
GEN24_1011212,1,2,1,1
GEN24_1011213,1,1,1,1
GEN24_1011221,1,3,1,0
GEN24_1011224,1,1,1,0
GEN24_1011225,1,1,1,0
GEN24_1011255,1,1,1,0
GEN24_1011277,1,1,1,1
GEN24_1011290,1,1,1,0
GEN24_1011292,1,1,1,1
GEN24_1011297,1,3,1,1
GEN24_1011308,1,2,1,1
GEN24_1011309,1,2,1,1
GEN24_1011323,1,1,1,0
GEN24_1011340,1,1,1,1
GEN24_1011349,1,1,0,1
GEN24_1011355,1,1,1,0
GEN24_1011360,1,1,0,1
GEN24_1011364,1,3,1,0
GEN24_1011383,1,1,0,1
GEN24_1011393,1,1,0,1
GEN24_1011408,1,1,1,0
GEN24_1011492,1,1,1,1
GEN24_1011495,1,5,1,1
GEN24_1011522,1,2,1,1
GEN24_1011525,1,2,1,0
GEN24_1011538,1,1,1,0
GEN24_1011583,1,2,1,1
GEN24_1011634,1,1,1,1
GEN24_1011669,1,1,0,1
GEN24_1011682,1,1,1,0
GEN24_1011710,1,2,1,1
GEN24_1011711,1,1,1,0
GEN24_1011747,1,1,0,1
GEN24_1011762,1,1,1,1
GEN24_1011763,1,1,1,0
GEN24_1011764,1,4,0,1
GEN24_1011843,1,1,0,1
GEN24_1011916,1,1,1,0
GEN24_1011918,1,1,1,0
GEN24_1011952,1,1,1,1
GEN24_1011953,1,1,1,0
GEN24_1012088,1,1,0,1
GEN24_1012094,1,1,0,1
GEN24_1012128,1,1,1,0
GEN24_1012169,1,1,1,1
GEN24_1012188,1,1,1,0
GEN24_1012218,1,1,1,1
GEN24_1012292,1,1,1,0
GEN24_1012360,1,1,1,1
GEN24_1012364,1,1,0,1
GEN24_1012380,1,1,1,0
GEN24_1012424,1,1,1,0
GEN24_1012438,1,1,1,1
GEN24_1012445,1,2,1,1
GEN24_1012454,1,1,0,1
GEN24_1012460,1,1,0,1
GEN24_1012461,1,1,1,0
GEN24_1012497,1,1,1,0
GEN24_1012498,1,1,1,0
GEN24_1012523,1,1,0,1
GEN24_1012548,1,1,1,1
GEN24_1012587,1,1,1,0
GEN24_1012600,1,2,1,0
GEN24_1012619,1,2,0,1
GEN24_1012620,1,1,1,0
GEN24_1012624,1,1,0,1
GEN24_1012640,1,1,1,0
GEN24_1012647,1,1,1,0
GEN24_1012661,1,2,0,1
GEN24_1012667,1,1,1,1
GEN24_1012669,1,3,1,0
GEN24_1012739,1,1,0,1
GEN24_1012743,1,1,1,1
GEN24_1012772,1,1,1,1
GEN24_1012777,1,1,0,1
GEN24_1012783,1,1,0,1
GEN24_1012786,1,1,0,1
GEN24_1012793,1,1,0,1
GEN24_1012801,1,2,1,0
GEN24_1012834,1,2,0,1
GEN24_1012839,1,1,0,1
GEN24_1012849,1,3,1,1
GEN24_1012854,1,1,0,1
GEN24_1012876,1,1,0,1
GEN24_1012877,1,1,1,1
GEN24_1012900,1,1,1,0
GEN24_1012953,1,2,1,1
GEN24_1012954,1,2,1,1
GEN24_1012961,1,2,1,1
GEN24_1012965,1,2,1,0
GEN24_1012983,1,3,1,1
GEN24_1012996,1,1,1,1
GEN24_1013019,1,1,1,1
GEN24_1013035,1,1,0,1
GEN24_1013046,1,1,1,0
GEN24_1013068,1,1,1,1
GEN24_1013125,1,1,0,1
GEN24_1013130,1,1,1,0
GEN24_1013151,1,1,1,0
GEN24_1013159,1,1,1,0
GEN24_1013175,1,1,1,0
GEN24_1013194,1,1,1,0
GEN24_1013203,1,1,1,0
GEN24_1013232,1,1,0,1
GEN24_1013260,1,1,1,1
GEN24_1013261,1,1,1,1
GEN24_1013280,1,1,1,0
GEN24_1013289,1,1,1,0
GEN24_1013304,1,1,0,1
GEN24_1013305,1,1,1,1
GEN24_1013311,1,1,1,1
GEN24_1013320,1,2,1,1
GEN24_1013355,1,1,1,0
GEN24_1013374,1,1,0,1
GEN24_1013414,1,2,1,1
GEN24_1013424,1,1,1,1
GEN24_1013450,1,2,1,0
GEN24_1013460,1,1,0,1
GEN24_1013467,1,2,1,1
GEN24_1013483,1,1,1,0
GEN24_1013513,1,1,0,1
GEN24_1013515,1,1,1,0
GEN24_1013517,1,1,1,0
GEN24_1013548,1,3,1,1
GEN24_1013551,1,1,1,0
GEN24_1013571,1,1,0,1
GEN24_1013579,1,1,1,1
GEN24_1013580,1,1,1,0
GEN24_1013583,1,1,0,1
GEN24_1013615,1,1,1,0
GEN24_1013622,1,1,0,1
GEN24_1013627,1,1,1,0
GEN24_1013632,1,1,1,0
GEN24_1013650,1,1,1,0
GEN24_1013718,1,1,0,1
GEN24_1013741,1,1,0,1
GEN24_1013747,1,1,0,1
GEN24_1013758,1,1,0,1
GEN24_1013779,1,1,0,1
GEN24_1013794,1,1,1,1
GEN24_1013799,1,1,1,1
GEN24_1013819,1,1,1,0
GEN24_1013830,1,2,1,0
GEN24_1013833,1,1,0,1
GEN24_1013844,1,1,0,1
GEN24_1013852,1,2,0,1
GEN24_1013869,1,4,1,1
GEN24_1013888,1,1,1,1
GEN24_1013892,1,1,1,0
GEN24_1013909,1,1,0,1
GEN24_1013931,1,2,1,0
GEN24_1013935,1,1,0,1
GEN24_1013960,1,1,1,0
GEN24_1013963,1,1,1,0
GEN24_1013964,1,1,1,0
GEN24_1013994,1,1,1,1
GEN24_1014004,1,1,1,0
GEN24_1014007,1,1,0,1
GEN24_1014037,1,1,1,0
GEN24_1014038,1,1,1,0
GEN24_1014040,1,1,1,1
GEN24_1014055,1,1,1,0
GEN24_1014087,1,1,1,0
GEN24_1014088,1,1,1,0
GEN24_1014118,1,1,1,0
GEN24_1014140,1,6,1,1
GEN24_1014147,1,2,1,1
GEN24_1014153,1,1,1,0
GEN24_1014157,1,1,1,0
GEN24_1014164,1,1,1,1
GEN24_1014166,1,1,0,1
GEN24_1014172,1,1,0,1
GEN24_1014176,1,1,1,1
GEN24_1014191,1,1,1,0
GEN24_1014219,1,3,1,0
GEN24_1014245,1,1,1,0
GEN24_1014249,1,1,0,1
GEN24_1014274,1,1,1,1
GEN24_1014287,1,1,1,0
GEN24_1014288,1,2,1,0
GEN24_1014292,1,1,1,0
GEN24_1014293,1,1,1,0
GEN24_1014308,1,2,1,1
GEN24_1014309,1,1,0,1
GEN24_1014314,1,1,1,0
GEN24_1014327,1,2,1,1
GEN24_1014330,1,1,1,0
GEN24_1014332,1,1,0,1
GEN24_1014344,1,2,1,1
GEN24_1014345,1,1,1,1
GEN24_1014406,1,1,0,1
GEN24_1014410,1,2,1,1
GEN24_1014418,1,1,1,0
GEN24_1014421,1,1,1,0
GEN24_1014424,1,2,1,1
GEN24_1014444,1,2,1,1
GEN24_1014464,1,1,1,0
GEN24_1014466,1,1,1,1
GEN24_1014476,1,1,0,1
GEN24_1014483,1,1,0,1
GEN24_1014491,1,1,0,1
GEN24_1014505,1,1,1,1
GEN24_1014511,1,1,0,1
GEN24_1014513,1,3,1,1
GEN24_1014538,1,1,1,0
GEN24_1014539,1,1,1,0
GEN24_1014554,1,1,1,1
GEN24_1014557,1,1,1,1
GEN24_1014559,1,1,1,1
GEN24_1014617,1,1,0,1
GEN24_1014623,1,1,1,0
GEN24_1014746,1,1,1,1
GEN24_1014761,1,1,1,0
GEN24_1014772,1,1,0,1
GEN24_1014787,1,1,1,1
